,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
1217,Joe Vetrano,694838,124,106,26,541,229,156,39,16,2,67,0,0,0,21,3,1,1,0.6812227074235808,0.4232902033271719,0.31451612903225806,0.12903225806451613,0.24528301886792453,0.3548387096774194,0.32075471698113206,All,,,,,,,,
1218,Joel Dragoo,811780,65,47,15,292,99,75,14,15,3,33,11,15,5,9,6,0,0,0.7575757575757576,0.339041095890411,0.2153846153846154,0.23076923076923078,0.3191489361702128,0.5076923076923077,0.44680851063829785,All,292.0,33.0,0.3333333333333333,0.45454545454545453,0.15151515151515152,0.42424242424242425,0.13095238095238096,95.02
1219,Joey Bart,663698,20,17,6,75,33,29,3,3,0,14,4,6,4,5,1,0,0,0.8787878787878788,0.44,0.15,0.15,0.35294117647058826,0.45,0.4117647058823529,All,75.0,14.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.2,105.22
1220,Joey Gallo,608336,90,67,12,381,146,96,24,22,1,43,14,6,13,4,1,0,7,0.6575342465753424,0.38320209973753283,0.26666666666666666,0.24444444444444444,0.1791044776119403,0.3888888888888889,0.5074626865671642,All,352.0,39.0,0.358974358974359,0.15384615384615385,0.3333333333333333,0.2564102564102564,0.13368983957219252,103.0
1221,Joey Loperfido,694388,187,162,44,719,309,234,53,19,4,111,53,19,34,23,7,1,13,0.7572815533980582,0.4297635605006954,0.28342245989304815,0.10160427807486631,0.2716049382716049,0.3582887700534759,0.5679012345679012,All,719.0,111.0,0.4774774774774775,0.17117117117117117,0.3063063063063063,0.26126126126126126,0.2540106951871658,106.27
1222,Joey Meneses,608841,211,189,48,802,398,308,38,18,2,153,54,36,46,25,14,0,9,0.7738693467336684,0.49625935162094764,0.18009478672985782,0.08530805687203792,0.25396825396825395,0.3222748815165877,0.4708994708994709,All,802.0,153.0,0.35294117647058826,0.23529411764705882,0.3006535947712418,0.3006535947712418,0.3195402298850575,103.16
1223,Joey Ortiz,687401,3,2,0,17,5,4,0,1,0,2,0,0,0,0,0,0,0,0.8,0.29411764705882354,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,All,,,,,,,,
1224,Joey Votto,458015,96,80,14,411,160,105,36,14,1,45,18,12,13,9,3,0,2,0.65625,0.38929440389294406,0.375,0.14583333333333334,0.175,0.3020833333333333,0.2875,All,411.0,45.0,0.4,0.26666666666666666,0.28888888888888886,0.35555555555555557,0.2264957264957265,100.69999999999999
1225,Joey Wiemer,686894,352,294,66,1461,588,399,97,55,3,197,93,40,50,47,15,1,3,0.6785714285714286,0.4024640657084189,0.2755681818181818,0.15625,0.22448979591836735,0.3522727272727273,0.3129251700680272,All,1461.0,197.0,0.4720812182741117,0.20304568527918782,0.25380710659898476,0.27411167512690354,0.25129533678756477,105.22
1226,Johan Macias,691571,205,187,48,701,371,282,43,11,4,147,0,0,0,34,7,5,2,0.7601078167115903,0.5292439372325249,0.2097560975609756,0.05365853658536585,0.25668449197860965,0.3073170731707317,0.37967914438502676,All,,,,,,,,
1227,Johan Rojas,679032,38,34,13,127,61,51,6,2,0,30,12,2,6,11,1,0,1,0.8360655737704918,0.48031496062992124,0.15789473684210525,0.05263157894736842,0.38235294117647056,0.39473684210526316,0.5,All,127.0,30.0,0.4,0.06666666666666667,0.2,0.06666666666666667,0.3333333333333333,105.95
1228,Johanfran Garcia,703190,60,52,20,217,115,71,15,6,2,37,0,0,0,13,5,0,2,0.6173913043478261,0.5299539170506913,0.25,0.1,0.38461538461538464,0.4666666666666667,0.5961538461538461,All,,,,,,,,
1229,John Cruz,800476,312,272,46,1133,522,364,87,32,4,190,81,32,28,36,9,0,1,0.6973180076628352,0.46072374227714036,0.27884615384615385,0.10256410256410256,0.16911764705882354,0.26282051282051283,0.21323529411764705,All,982.0,162.0,0.5,0.19753086419753085,0.1728395061728395,0.25925925925925924,0.27404718693284935,97.2
1230,John Garcia,801039,329,291,85,1301,618,446,84,28,11,208,0,0,0,53,21,2,9,0.7216828478964401,0.47501921598770175,0.2553191489361702,0.0851063829787234,0.2920962199312715,0.3768996960486322,0.47079037800687284,All,,,,,,,,
1231,John Gil,808535,158,138,29,620,263,193,37,17,0,104,0,0,0,23,5,1,0,0.7338403041825095,0.4241935483870968,0.23417721518987342,0.10759493670886076,0.21014492753623187,0.2911392405063291,0.2608695652173913,All,,,,,,,,
1232,John McHenry,806538,210,170,22,857,384,241,70,26,6,109,0,0,0,12,7,0,3,0.6276041666666666,0.44807467911318555,0.3333333333333333,0.12380952380952381,0.12941176470588237,0.2571428571428571,0.2235294117647059,All,,,,,,,,
1233,John Michael Faile,702114,68,65,15,311,119,86,24,2,1,41,0,0,0,8,2,1,4,0.7226890756302521,0.38263665594855306,0.35294117647058826,0.029411764705882353,0.23076923076923078,0.2647058823529412,0.47692307692307695,All,,,,,,,,
1234,John Peck,807726,281,247,64,1056,447,336,71,27,5,178,64,35,24,45,11,5,3,0.7516778523489933,0.42329545454545453,0.2526690391459075,0.09608540925266904,0.2591093117408907,0.3416370106761566,0.3805668016194332,All,778.0,131.0,0.48854961832061067,0.26717557251908397,0.183206106870229,0.3435114503816794,0.22274881516587677,103.92
