,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
319,Mark Canha,KC,592192.0,2.36,249.0,600,515,60,9,55,6,0.238,0.343,0.348,120,60,122,906,381.0,555.6122448979592,469.0,-88.0
320,MJ Melendez,KC,669004.0,8.26,460.0,600,541,66,19,69,9,0.229,0.302,0.406,157,54,123,994,247.0,418.7584269662921,275.0,-28.0
321,Luken Baker,STL,663609.0,6.52,163.0,600,530,69,22,69,3,0.222,0.311,0.403,158,66,117,966,301.0,469.5,310.0,-9.0
322,Eric Wagaman,MIA,676572.0,10.22,151.0,600,568,79,23,79,9,0.27,0.307,0.456,143,27,154,1103,79.5,568.0,490.0,-410.5
323,Jorge Polanco,SEA,593871.0,7.41,463.0,600,535,66,23,68,5,0.224,0.306,0.398,164,59,120,984,268.0,438.9431818181818,284.0,-16.0
324,Jorge Mateo,BAL,622761.0,9.81,162.0,600,559,74,11,70,34,0.225,0.276,0.344,144,37,125,1052,147.5,553.9565217391304,467.0,-319.5
325,Jordan Lawlar,ARI,691783.0,9.26,225.0,600,536,72,18,69,12,0.257,0.336,0.423,146,50,138,1058,139.5,334.9438202247191,226.0,-86.5
326,Jordan Beck,COL,687597.0,8.4,383.0,600,554,65,17,67,15,0.237,0.294,0.386,181,43,131,988,259.5,476.5029585798816,314.0,-54.5
327,Jonny DeLuca,TB,676356.0,8.87,426.0,600,543,70,14,63,23,0.23,0.3,0.36,125,42,125,1019,211.0,372.7696629213483,254.0,-43.0
328,Jacob Wilson,OAK,805779.0,3.38,482.0,600,545,59,6,57,4,0.245,0.312,0.327,65,46,133,844,406.0,352.536231884058,236.5,169.5
332,Jacob Stallings,COL,607732.0,5.43,292.0,600,538,65,14,57,1,0.243,0.319,0.386,145,51,131,925,357.5,486.0416666666667,322.0,35.5
333,Andy Pages,LAD,681624.0,9.29,300.0,600,546,66,30,62,4,0.264,0.327,0.486,144,40,144,1098,84.0,366.376404494382,249.5,-165.5
334,Andy Ibanez,DET,628451.0,,190.0,600,555,63,12,63,8,0.248,0.301,0.382,126,37,138,938,339.0,,,
335,Andrew McCutchen,PIT,457705.0,5.02,430.0,600,519,62,18,68,3,0.226,0.328,0.388,149,72,117,960,308.5,551.2142857142857,457.0,-148.5
336,Wenceel Perez,DET,672761.0,6.31,342.0,600,550,63,12,59,14,0.233,0.294,0.358,129,47,128,919,368.5,513.3538461538461,364.0,4.5
337,Luisangel Acuna,NYM,682668.0,11.17,207.0,600,559,75,14,72,31,0.238,0.286,0.367,121,34,133,1068,121.0,383.9550561797753,260.0,-139.0
338,Gavin Sheets,SD,657757.0,10.88,180.0,600,543,90,16,93,5,0.24,0.309,0.386,123,50,130,1045,159.0,544.0384615384615,432.0,-273.0
339,Geraldo Perdomo,ARI,672695.0,4.97,505.0,600,527,65,9,55,11,0.23,0.322,0.338,99,65,121,911,375.0,450.8595505617977,298.0,77.0
340,Gio Urshela,OAK,570482.0,4.13,362.0,600,560,64,11,66,1,0.27,0.316,0.394,102,36,150,934,344.0,507.3428571428572,344.5,-0.5
344,Grant McCray,SF,687529.0,6.99,162.0,600,555,62,14,62,19,0.196,0.254,0.32,207,33,111,883,396.0,580.0,500.0,-104.0
345,Griffin Conine,MIA,665052.0,7.85,337.0,600,548,65,21,71,1,0.235,0.298,0.409,169,42,128,959,310.5,545.3157894736842,442.0,-131.5
346,Edouard Julien,MIN,666397.0,7.18,308.0,600,522,72,19,60,11,0.222,0.322,0.383,188,74,114,1002,241.5,549.9357798165138,454.0,-212.5
347,Elias Diaz,SD,553869.0,5.8,314.0,600,556,64,15,59,2,0.243,0.295,0.374,131,38,135,895,388.5,509.0756302521008,348.0,40.5
348,Eloy Jimenez,TB,650391.0,4.31,205.0,600,556,52,20,64,5,0.248,0.302,0.403,120,40,137,941,332.0,526.5384615384615,388.0,-56.0
349,Endy Rodriguez,PIT,682848.0,5.57,341.0,600,529,59,14,61,6,0.23,0.317,0.366,140,61,121,910,376.5,432.7796610169492,282.0,94.5
350,Enrique Hernandez,LAD,571771.0,4.31,264.0,600,552,65,15,65,1,0.233,0.293,0.373,120,43,127,912,374.0,546.1206896551724,446.0,-72.0
351,Mike Siani,STL,672279.0,,195.0,600,556,61,6,55,22,0.219,0.276,0.301,156,40,123,884,394.5,,,
352,Michael A. Taylor,CWS,572191.0,8.11,184.0,600,551,61,19,65,18,0.213,0.275,0.369,198,42,117,942,330.5,597.0,503.0,-172.5
353,Max Schuemann,OAK,680474.0,3.92,154.0,600,525,62,11,58,13,0.229,0.323,0.352,151,62,120,919,368.5,544.7142857142857,434.5,-66.0
357,Max Kepler,PHI,596146.0,9.42,425.0,600,549,72,21,77,1,0.245,0.306,0.427,127,43,134,1014,219.5,405.5113636363636,273.0,-53.5
358,Luis Urias,OAK,649966.0,5.37,248.0,600,520,67,16,65,7,0.227,0.328,0.376,137,62,118,976,285.0,567.0,489.0,-204.0
359,Ernie Clement,TOR,676391.0,7.26,327.0,600,568,71,12,71,16,0.262,0.298,0.387,64,23,148,1001,243.0,384.9550561797753,261.0,-18.0
360,Matt Mervis,MIA,670223.0,5.2,332.0,600,545,63,18,68,5,0.214,0.282,0.372,169,43,117,914,372.5,546.843137254902,447.0,-74.5
361,Nick Fortes,MIA,663743.0,3.19,336.0,600,562,57,8,55,2,0.23,0.277,0.326,92,26,128,791,409.0,553.5348837209302,465.0,-56.0
362,Nick Allen,ATL,669397.0,3.39,161.0,600,559,59,3,55,14,0.213,0.262,0.276,104,33,119,769,410.0,592.0,502.0,-92.0
363,Mitch Haniger,,571745.0,2.26,266.0,600,543,42,20,45,2,0.222,0.291,0.381,175,49,119,848,405.0,540.7352941176471,416.0,-11.0
364,Mitch Garver,SEA,641598.0,6.29,307.0,600,519,62,21,62,1,0.203,0.307,0.367,171,72,105,920,365.5,457.2742857142857,302.0,63.5
365,Mike Yastrzemski,SF,573262.0,6.85,446.0,600,535,65,18,64,4,0.225,0.307,0.398,160,56,121,961,306.5,455.8426966292135,300.0,6.5
366,Mike Tauchman,CWS,643565.0,6.88,358.0,600,514,65,15,60,10,0.249,0.353,0.387,129,77,127,1010,224.0,494.7450980392157,335.0,-111.0
367,Mauricio Dubon,HOU,643289.0,5.04,362.0,600,566,67,13,64,6,0.257,0.294,0.383,86,26,145,924,360.0,468.4114285714286,309.0,51.0
368,Derek Hill,MIA,656537.0,6.83,289.0,600,566,66,14,60,13,0.224,0.265,0.347,172,26,126,910,376.5,545.6785714285714,445.0,-68.5
369,David Peralta,,444482.0,,192.0,600,556,62,12,62,2,0.253,0.307,0.388,121,40,140,922,363.0,,,
370,Davis Schneider,TOR,676914.0,7.06,238.0,600,521,68,22,65,6,0.207,0.306,0.389,181,65,108,982,274.0,547.7407407407408,449.0,-175.0
371,David Hamilton,BOS,666152.0,11.79,188.0,600,548,73,12,70,49,0.239,0.301,0.378,146,47,130,1170,33.5,386.7303370786517,263.0,-229.5
372,David Fry,CLE,681807.0,9.26,180.0,600,526,73,20,70,6,0.241,0.332,0.408,136,56,126,1056,142.5,464.9265536723164,304.0,-161.5
373,Ezequiel Duran,TEX,677649.0,5.48,163.0,600,559,66,14,66,10,0.235,0.285,0.372,150,33,132,939,336.0,544.95,437.0,-101.0
