,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
0,Shohei Ohtani,LAD,660271.0,18.89,680.0,600,510,110,39,85,24,0.283,0.386,0.595,137,83,143,1461,1.0,1.3820224719101124,1.0,0.0
1,Aaron Judge,NYY,592450.0,19.43,632.0,600,478,102,43,94,7,0.279,0.421,0.613,155,114,133,1406,2.0,3.039325842696629,3.0,-1.0
2,Elly De La Cruz,CIN,682829.0,17.33,642.0,600,533,86,27,83,43,0.251,0.331,0.47,183,60,133,1332,6.0,4.550561797752809,4.0,2.0
3,Bobby Witt Jr.,KC,677951.0,17.63,651.0,600,544,97,31,85,21,0.305,0.365,0.568,98,47,165,1389,3.0,1.7134831460674158,2.0,1.0
4,Juan Soto,NYM,665742.0,16.5,658.0,600,482,98,34,84,7,0.289,0.423,0.569,106,112,139,1330,7.0,7.5,7.0,0.0
5,Corbin Carroll,ARI,682998.0,14.07,652.0,600,527,94,21,67,28,0.255,0.343,0.454,115,61,134,1234,15.0,9.865168539325843,9.0,6.0
6,Ronald Acuna Jr.,ATL,660670.0,17.53,575.0,600,523,105,25,83,22,0.296,0.381,0.507,94,63,155,1340,5.0,28.168539325842698,24.0,-19.0
7,Jose Ramirez,CLE,608070.0,13.94,647.0,600,530,88,23,81,31,0.271,0.352,0.475,76,63,143,1281,10.0,5.106741573033708,5.0,5.0
8,Yordan Alvarez,HOU,670541.0,16.54,596.0,600,514,90,32,97,6,0.287,0.385,0.545,101,73,147,1317,8.0,16.348314606741575,15.0,-7.0
9,Julio Rodriguez,SEA,677594.0,14.38,633.0,600,546,87,27,79,16,0.268,0.329,0.475,146,43,146,1197,23.0,14.157303370786517,13.0,10.0
10,Francisco Lindor,NYM,596019.0,14.37,664.0,600,536,92,28,71,19,0.269,0.343,0.488,116,52,144,1224,16.0,14.48314606741573,14.0,2.0
11,Gunnar Henderson,BAL,683002.0,15.46,639.0,600,531,92,30,83,14,0.273,0.352,0.514,138,62,145,1253,12.0,6.235955056179775,6.0,6.0
12,Fernando Tatis Jr.,SD,665487.0,15.01,612.0,600,544,91,29,80,13,0.273,0.337,0.495,132,49,149,1212,19.5,10.735955056179776,10.0,9.5
13,Kyle Tucker,CHC,663656.0,14.66,616.0,600,511,84,28,85,13,0.282,0.385,0.518,92,84,144,1265,11.0,8.00561797752809,8.0,3.0
14,Jackson Chourio,MIL,694192.0,13.67,632.0,600,553,92,23,67,22,0.268,0.322,0.455,125,41,148,1174,30.0,17.3876404494382,16.0,14.0
15,Jackson Merrill,SD,701538.0,14.25,617.0,600,564,77,28,86,14,0.289,0.327,0.514,104,32,163,1219,18.0,27.640449438202246,23.0,-5.0
16,Teoscar Hernandez,LAD,606192.0,14.76,619.0,600,544,83,29,96,7,0.248,0.314,0.468,177,45,134,1160,41.0,60.63483146067416,40.0,1.0
17,Vladimir Guerrero Jr.,TOR,665489.0,12.78,659.0,600,527,91,29,85,3,0.292,0.373,0.519,90,64,153,1221,17.0,13.702247191011235,12.0,5.0
18,Mookie Betts,LAD,605141.0,14.53,646.0,600,518,95,24,80,14,0.281,0.376,0.493,86,73,145,1252,13.0,11.348314606741573,11.0,2.0
19,Jarren Duran,BOS,680776.0,11.96,638.0,600,549,89,16,65,22,0.271,0.33,0.458,135,44,148,1163,38.5,21.707865168539325,18.0,20.5
20,Michael Harris II,ATL,671739.0,14.35,571.0,600,557,81,27,86,13,0.287,0.333,0.498,116,33,159,1212,19.5,40.96629213483146,31.0,-11.5
21,Ketel Marte,ARI,606466.0,12.19,608.0,600,525,90,25,77,6,0.275,0.362,0.492,107,66,145,1182,26.0,29.06741573033708,26.0,0.0
22,Lawrence Butler,OAK,671732.0,13.21,591.0,600,554,87,26,68,19,0.255,0.309,0.462,145,42,141,1171,32.0,64.64492753623189,47.5,-15.5
26,Brent Rooker,OAK,667670.0,12.7,604.0,600,529,89,32,80,9,0.248,0.332,0.492,176,57,132,1178,27.0,61.60144927536232,43.5,-16.5
30,Oneil Cruz,PIT,665833.0,13.65,601.0,600,542,79,24,85,21,0.246,0.315,0.45,177,52,133,1167,36.0,39.35955056179776,30.0,6.0
31,Anthony Santander,TOR,623993.0,12.25,632.0,600,538,77,28,85,3,0.243,0.317,0.464,127,52,131,1103,79.5,86.6,62.5,17.0
35,Pete Alonso,NYM,624413.0,11.13,647.0,600,520,79,30,87,3,0.237,0.335,0.463,142,64,123,1128,52.0,45.752808988764045,34.0,18.0
36,Matt Olson,ATL,621566.0,10.85,653.0,600,519,80,28,86,2,0.251,0.348,0.473,144,73,130,1140,49.5,32.48876404494382,27.0,22.5
37,Marcell Ozuna,ATL,542303.0,11.76,608.0,600,533,78,30,91,2,0.271,0.347,0.5,148,61,144,1168,35.0,66.41011235955057,50.0,-15.0
38,Jazz Chisholm,NYY,665862.0,12.05,593.0,600,543,77,24,82,27,0.234,0.304,0.418,156,50,127,1163,38.5,23.140449438202246,19.0,19.5
39,William Contreras,MIL,661388.0,12.32,615.0,600,526,78,23,82,9,0.268,0.354,0.462,123,67,141,1141,47.5,25.707865168539325,22.0,25.5
40,Bryan Reynolds,PIT,668804.0,10.96,635.0,600,536,82,21,70,9,0.264,0.34,0.451,133,52,141,1096,88.5,94.47191011235957,69.0,19.5
41,Wyatt Langford,TEX,694671.0,12.72,567.0,600,536,75,26,78,16,0.265,0.339,0.474,122,57,142,1183,25.0,43.08426966292135,33.0,-8.0
42,Bryce Harper,PHI,547180.0,10.95,624.0,600,511,79,24,85,9,0.266,0.371,0.476,134,82,136,1175,29.0,20.17977528089888,17.0,12.0
43,James Wood,WSH,695578.0,12.76,559.0,600,522,77,23,76,20,0.273,0.363,0.47,158,69,142,1205,21.0,50.80337078651685,35.0,-14.0
44,Luis Robert,CWS,673357.0,12.69,564.0,600,548,81,24,72,22,0.235,0.298,0.421,181,41,128,1120,62.5,81.28651685393258,58.0,4.5
45,Freddie Freeman,LAD,518692.0,10.95,626.0,600,518,83,21,87,7,0.274,0.37,0.464,105,71,141,1165,37.0,24.49438202247191,20.0,17.0
46,Randy Arozarena,SEA,668227.0,10.8,622.0,600,515,70,19,79,17,0.236,0.341,0.411,148,68,121,1100,82.5,135.22471910112358,98.0,-15.5
47,Ezequiel Tovar,COL,678662.0,11.36,633.0,600,568,73,23,77,14,0.262,0.298,0.457,162,26,148,1108,76.0,130.61797752808988,95.0,-19.0
48,Kyle Schwarber,PHI,656941.0,10.07,649.0,600,500,85,31,69,4,0.229,0.354,0.465,173,92,114,1123,59.0,68.41011235955057,51.0,8.0
49,Mike Trout,LAA,545361.0,18.6,445.0,600,521,90,39,97,16,0.263,0.355,0.547,163,67,137,1346,4.0,107.98314606741572,75.0,-71.0
50,Brenton Doyle,COL,686668.0,10.93,593.0,600,550,81,20,60,23,0.241,0.3,0.416,163,43,132,1094,90.0,72.80337078651685,53.0,37.0
51,C.J. Abrams,WSH,682928.0,12.29,588.0,600,542,86,20,61,29,0.259,0.327,0.436,122,40,140,1177,28.0,51.90449438202247,36.0,-8.0
52,Jose Altuve,HOU,514888.0,9.47,613.0,600,544,85,19,59,14,0.265,0.332,0.43,110,47,144,1074,116.5,54.40449438202247,37.0,79.5
53,Trea Turner,PHI,607208.0,11.71,616.0,600,556,80,20,73,18,0.265,0.316,0.434,120,37,147,1114,69.0,25.264044943820224,21.0,48.0
54,Ozzie Albies,ATL,645277.0,9.8,602.0,600,550,76,18,78,10,0.261,0.319,0.429,97,41,143,1059,136.5,56.646067415730336,38.0,98.5
55,Dylan Crews,WSH,686611.0,11.61,563.0,600,536,76,21,66,26,0.247,0.324,0.415,131,46,132,1125,54.5,128.19101123595505,93.0,-38.5
56,Austin Riley,ATL,663586.0,10.53,645.0,600,536,88,26,78,1,0.26,0.335,0.474,146,51,139,1112,74.0,28.730337078651687,25.0,49.0
57,Manny Machado,SD,592518.0,10.93,618.0,600,546,76,25,88,8,0.263,0.325,0.458,116,49,143,1118,64.0,33.241573033707866,29.0,35.0
58,Ian Happ,CHC,664023.0,9.69,632.0,600,517,81,21,58,12,0.247,0.348,0.438,143,75,127,1076,112.5,125.9438202247191,91.0,21.5
59,Cal Raleigh,SEA,663728.0,12.95,564.0,600,531,77,30,85,6,0.235,0.319,0.464,164,62,125,1120,62.5,80.69662921348315,57.0,5.5
60,Willy Adames,SF,642715.0,10.74,637.0,600,531,79,22,69,14,0.241,0.325,0.433,150,64,128,1088,96.0,79.87078651685393,56.0,40.0
61,Riley Greene,DET,682985.0,10.51,609.0,600,532,81,22,70,5,0.261,0.342,0.463,156,63,138,1097,86.0,106.38202247191012,72.0,14.0
62,Mark Vientos,NYM,668901.0,11.9,598.0,600,549,82,31,90,2,0.244,0.304,0.463,173,42,134,1132,51.0,96.1123595505618,71.0,-20.0
63,Corey Seager,TEX,608369.0,14.9,536.0,600,529,95,33,82,2,0.282,0.362,0.539,107,62,148,1240,14.0,41.89325842696629,32.0,-18.0
64,Adolis Garcia,TEX,666969.0,11.73,562.0,600,543,74,26,81,9,0.236,0.305,0.438,165,49,128,1083,103.0,143.62359550561797,100.0,3.0
65,Andres Gimenez,TOR,665926.0,8.71,595.0,600,546,69,14,71,21,0.25,0.315,0.383,102,33,136,1064,129.0,175.3033707865169,119.0,10.0
66,Rafael Devers,BOS,646240.0,11.03,604.0,600,523,88,26,79,4,0.264,0.355,0.492,134,68,138,1160,41.0,32.69101123595506,28.0,13.0
67,Lane Thomas,CLE,657041.0,11.95,533.0,600,547,75,19,73,27,0.242,0.306,0.412,153,43,132,1125,54.5,177.91573033707866,122.0,-67.5
68,Taylor Ward,LAA,621493.0,9.26,626.0,600,534,78,23,60,6,0.249,0.327,0.442,137,55,133,1040,167.5,181.3483146067416,124.0,43.5
69,Seiya Suzuki,CHC,673548.0,11.93,546.0,600,529,82,23,71,14,0.26,0.344,0.454,150,63,137,1148,45.0,86.25280898876404,60.0,-15.0
70,Luis Garcia Jr.,WSH,671277.0,10.21,536.0,600,561,69,20,75,18,0.279,0.322,0.451,91,36,156,1124,57.5,122.92134831460676,90.0,-32.5
71,Marcus Semien,TEX,543760.0,7.73,637.0,600,540,81,18,58,6,0.258,0.329,0.423,95,54,139,1015,217.5,84.96067415730337,59.0,158.5
72,Jordan Westburg,BAL,676059.0,10.28,550.0,600,554,74,20,79,12,0.261,0.315,0.455,135,36,145,1101,81.0,78.41573033707866,55.0,26.0
73,Brice Turang,MIL,668930.0,8.31,561.0,600,545,66,10,59,39,0.235,0.303,0.343,112,51,128,1059,136.5,133.67977528089887,97.0,39.5
74,Bryson Stott,PHI,681082.0,9.25,556.0,600,546,73,15,65,25,0.256,0.322,0.394,99,49,140,1089,94.5,165.938202247191,113.0,-18.5
75,Christian Walker,HOU,572233.0,10.53,575.0,600,531,76,27,87,4,0.247,0.331,0.459,136,59,131,1114,69.0,94.31460674157304,68.0,1.0
76,Nick Castellanos,PHI,592206.0,9.48,606.0,600,554,68,20,76,6,0.261,0.314,0.437,145,38,144,1030,190.0,175.86516853932585,120.0,70.0
77,Luis Rengifo,LAA,650859.0,11.1,489.0,600,549,73,15,74,32,0.265,0.324,0.407,101,41,144,1140,49.5,153.41573033707866,106.0,-56.5
78,Josh Naylor,ARI,647304.0,10.02,582.0,600,535,76,20,87,8,0.264,0.34,0.446,97,56,141,1125,54.5,93.0,67.0,-12.5
79,Paul Goldschmidt,NYY,502671.0,9.36,598.0,600,541,74,22,83,7,0.246,0.317,0.422,159,54,133,1075,114.5,165.93258426966293,112.0,2.5
80,Matt Chapman,SF,656305.0,9.37,610.0,600,532,74,23,79,10,0.245,0.328,0.453,154,60,129,1105,77.5,129.58988764044943,94.0,-16.5
81,Anthony Volpe,NYY,683011.0,9.88,605.0,600,550,70,16,70,24,0.236,0.297,0.381,143,44,129,1040,167.5,147.01123595505618,103.0,64.5
82,Jake Burger,TEX,669394.0,10.21,566.0,600,552,75,30,82,1,0.258,0.315,0.486,155,36,143,1113,72.0,114.07303370786516,77.0,-5.0
83,Pete Crow-Armstrong,CHC,691718.0,10.75,515.0,600,549,65,20,66,32,0.236,0.297,0.407,144,37,129,1105,77.5,140.11797752808988,99.0,-21.5
84,Masyn Winn,STL,691026.0,9.5,610.0,600,553,75,13,66,22,0.252,0.307,0.382,105,42,139,1039,170.0,165.59550561797752,111.0,59.0
85,Jorge Soler,LAA,624585.0,11.52,539.0,600,524,74,27,84,3,0.236,0.33,0.449,149,69,123,1089,94.5,219.98876404494385,152.0,-57.5
86,Josh Lowe,TB,666139.0,12.33,494.0,600,548,82,20,72,23,0.24,0.302,0.416,166,48,132,1116,65.5,163.81460674157304,110.0,-44.5
87,Matt McLain,CIN,680574.0,10.71,529.0,600,541,86,26,73,1,0.262,0.332,0.475,166,47,141,1115,67.0,89.47752808988764,65.0,2.0
88,Salvador Perez,KC,521692.0,11.21,571.0,600,547,73,24,85,2,0.251,0.314,0.44,133,39,137,1067,123.0,72.4494382022472,52.0,71.0
89,Christian Yelich,MIL,592885.0,11.78,497.0,600,519,80,18,68,24,0.267,0.364,0.433,127,76,138,1173,31.0,107.5505617977528,73.0,-42.0
90,Brandon Nimmo,NYM,607043.0,10.12,561.0,600,522,74,20,73,10,0.247,0.342,0.419,137,65,129,1073,118.0,168.0,115.0,3.0
91,Alex Bregman,BOS,608324.0,8.53,633.0,600,535,76,18,80,4,0.273,0.348,0.442,82,54,145,1079,108.0,122.35227272727272,86.5,21.5
95,Brandon Lowe,TB,664040.0,12.12,480.0,600,536,80,28,85,7,0.243,0.321,0.456,157,54,130,1124,57.5,216.2808988764045,147.0,-89.5
96,Yainer Diaz,HOU,673237.0,11.61,540.0,600,566,74,22,86,3,0.282,0.318,0.465,109,26,158,1100,82.5,58.443820224719104,39.0,43.5
97,Cody Bellinger,NYY,641355.0,9.25,569.0,600,546,73,20,80,13,0.244,0.309,0.409,98,48,133,1074,116.5,107.6123595505618,74.0,42.5
98,Xander Bogaerts,SD,593428.0,7.47,584.0,600,549,67,15,68,12,0.263,0.323,0.4,105,44,144,1014,219.5,153.75842696629215,107.0,112.5
99,Maikel Garcia,KC,672580.0,8.56,531.0,600,554,72,11,61,30,0.252,0.307,0.369,114,42,140,1050,151.5,213.2865168539326,146.0,5.5
100,Andrew Vaughn,CWS,683734.0,8.45,596.0,600,550,71,22,82,3,0.247,0.305,0.421,127,39,135,1033,182.5,299.91011235955057,212.0,-29.5
101,Jurickson Profar,ATL,595777.0,8.84,589.0,600,525,82,16,59,8,0.266,0.354,0.419,100,64,139,1058,139.5,183.71653543307087,127.5,12.0
105,Gleyber Torres,DET,650402.0,6.42,619.0,600,537,65,15,69,5,0.253,0.328,0.396,110,58,136,982,274.0,226.8820224719101,157.0,117.0
106,Jasson Dominguez,NYY,691176.0,11.11,497.0,600,531,71,21,72,23,0.229,0.315,0.402,154,63,121,1083,103.0,152.82022471910113,105.0,-2.0
107,Heliot Ramos,SF,671218.0,9.92,538.0,600,548,69,25,73,6,0.245,0.306,0.446,158,45,134,1047,156.0,202.37640449438203,141.0,15.0
108,Yandy Diaz,TB,650490.0,6.32,659.0,600,538,81,18,57,0,0.278,0.349,0.44,99,53,150,1020,209.5,200.48876404494385,140.0,69.5
109,Bo Bichette,TOR,666182.0,9.63,596.0,600,560,83,18,61,10,0.273,0.319,0.427,116,35,153,1067,123.0,127.6685393258427,92.0,31.0
110,Cedric Mullins II,BAL,656775.0,10.39,504.0,600,539,69,16,70,28,0.23,0.305,0.378,125,52,123,1060,134.0,211.11797752808988,143.0,-9.0
111,Colton Cowser,BAL,681297.0,9.79,539.0,600,527,81,24,58,10,0.233,0.322,0.427,178,60,122,1062,131.0,157.76966292134833,108.0,23.0
112,Jeremy Pena,HOU,665161.0,8.46,613.0,600,556,67,15,69,15,0.253,0.304,0.389,112,32,140,1004,237.0,170.2191011235955,116.0,121.0
113,Zach Neto,LAA,687263.0,10.47,550.0,600,536,75,20,72,16,0.24,0.317,0.413,138,41,128,1078,110.5,173.4943820224719,118.0,-7.5
114,Xavier Edwards,MIA,669364.0,8.84,573.0,600,541,77,8,52,33,0.268,0.338,0.369,106,55,144,1083,103.0,148.41573033707866,104.0,-1.0
115,Dansby Swanson,CHC,621020.0,8.31,601.0,600,538,64,18,65,17,0.243,0.319,0.409,143,56,130,1024,200.5,188.46067415730337,132.0,68.5
116,Triston Casas,BOS,671213.0,9.3,547.0,600,514,73,27,83,0,0.246,0.35,0.466,160,82,127,1109,75.0,109.15168539325845,76.0,-1.0
117,Vinnie Pasquantino,KC,686469.0,8.27,584.0,600,538,75,18,80,3,0.267,0.338,0.44,80,54,143,1070,119.0,114.73595505617978,78.0,41.0
118,Kerry Carpenter,DET,681481.0,12.53,466.0,600,545,78,28,84,3,0.265,0.327,0.491,150,42,144,1152,43.0,189.91573033707863,133.0,-90.0
119,Nico Hoerner,CHC,663538.0,7.99,524.0,600,543,70,8,66,25,0.269,0.336,0.37,73,45,146,1061,133.0,177.31460674157304,121.0,12.0
120,Byron Buxton,MIN,621439.0,14.28,431.0,600,542,82,29,89,11,0.242,0.311,0.469,164,43,130,1170,33.5,218.8033707865169,150.0,-116.5
121,Jonathan India,KC,663697.0,6.57,584.0,600,511,77,14,53,11,0.253,0.361,0.402,121,67,129,1039,170.0,248.9943820224719,173.0,-3.0
122,Lourdes Gurriel Jr.,ARI,666971.0,9.22,536.0,600,556,68,17,75,9,0.262,0.312,0.425,109,35,145,1042,164.5,217.93258426966293,149.0,15.5
123,Steven Kwan,CLE,680757.0,6.88,614.0,600,533,77,9,52,12,0.27,0.348,0.385,66,59,144,989,257.0,145.57865168539325,102.0,155.0
124,JJ Bleday,OAK,668709.0,7.68,593.0,600,529,68,16,71,4,0.233,0.321,0.396,124,65,123,987,261.5,272.5217391304348,186.5,75.0
128,Brendan Donovan,STL,680977.0,7.43,552.0,600,536,69,14,72,7,0.268,0.342,0.405,83,47,143,1035,176.0,244.2752808988764,169.0,7.0
129,Willi Castro,MIN,650489.0,7.13,538.0,600,530,66,15,66,14,0.244,0.329,0.395,141,50,129,1024,200.5,227.51685393258427,158.0,42.5
130,Adley Rutschman,BAL,668939.0,8.23,594.0,600,530,76,16,65,2,0.265,0.348,0.418,96,65,140,1018,212.5,61.57865168539326,41.0,171.5
131,Shea Langeliers,OAK,669127.0,11.48,493.0,600,545,73,26,85,4,0.227,0.295,0.434,164,47,124,1043,162.5,115.85507246376812,80.5,82.0
135,Brandon Marsh,PHI,669016.0,10.46,481.0,600,527,77,18,68,18,0.244,0.332,0.415,183,66,128,1097,86.0,329.685393258427,223.0,-137.0
136,Jo Adell,LAA,666176.0,11.66,446.0,600,550,72,24,72,24,0.216,0.278,0.397,178,40,118,1084,101.0,304.97752808988764,214.0,-113.0
137,George Springer,TOR,543807.0,6.96,582.0,600,537,64,15,64,9,0.239,0.316,0.377,118,54,128,963,304.5,247.59550561797752,172.0,132.5
138,Victor Robles,SEA,645302.0,9.06,495.0,600,540,76,12,52,32,0.23,0.304,0.346,113,37,124,1037,173.0,197.81460674157304,138.0,35.0
139,Matt Shaw,CHC,807713.0,12.39,456.0,600,542,80,22,85,24,0.263,0.331,0.441,122,46,142,1194,24.0,237.9438202247191,164.0,-140.0
140,Ryan McMahon,COL,641857.0,6.78,610.0,600,531,73,21,64,5,0.247,0.331,0.429,175,62,130,1025,197.0,288.2022471910112,200.0,-3.0
141,Jordan Walker,STL,691023.0,9.92,494.0,600,545,71,21,74,8,0.255,0.32,0.432,139,46,138,1048,154.0,287.8314606741573,199.0,-45.0
142,Colt Keith,DET,690993.0,7.71,522.0,600,554,68,17,73,6,0.26,0.313,0.407,118,41,143,1009,226.0,246.6011235955056,170.0,56.0
143,Matt Wallner,MIN,670242.0,10.4,486.0,600,508,82,28,60,6,0.239,0.352,0.468,198,59,120,1114,69.0,273.0,190.0,-121.0
144,Willson Contreras,STL,575929.0,9.37,531.0,600,510,75,22,66,5,0.247,0.357,0.434,149,66,126,1062,131.0,77.65730337078652,54.0,77.0
145,Garrett Mitchell,MIL,669003.0,11.53,445.0,600,535,70,20,78,24,0.224,0.306,0.391,190,62,120,1087,97.5,253.13483146067412,175.0,-77.5
146,Isaac Paredes,HOU,670623.0,7.54,592.0,600,514,77,23,67,2,0.247,0.351,0.437,105,66,126,1059,136.5,200.2808988764045,139.0,-2.5
147,Spencer Steer,CIN,668715.0,9.58,489.0,600,527,76,19,74,20,0.245,0.334,0.417,126,62,128,1113,72.0,122.81460674157304,89.0,-17.0
148,Alec Bohm,PHI,664761.0,7.3,585.0,600,551,68,17,76,6,0.272,0.328,0.433,92,42,150,1048,154.0,172.7921348314607,117.0,37.0
149,Junior Caminero,TB,691406.0,9.11,538.0,600,533,71,26,83,4,0.23,0.313,0.427,132,60,122,1052,147.5,91.80898876404494,66.0,81.5
150,Lars Nootbaar,STL,663457.0,9.46,498.0,600,518,81,20,59,10,0.252,0.352,0.43,119,79,130,1079,108.0,269.7022471910112,183.0,-75.0
151,Eugenio Suarez,ARI,553993.0,7.43,583.0,600,538,69,22,76,3,0.236,0.311,0.421,173,50,127,1021,206.5,160.3314606741573,109.0,97.5
152,Will Smith,LAD,669257.0,10.81,489.0,600,521,76,23,78,3,0.255,0.35,0.449,109,61,133,1086,99.5,94.71910112359552,70.0,29.5
153,Michael Toglia,COL,669911.0,8.21,523.0,600,536,68,25,74,9,0.226,0.305,0.426,189,59,121,1056,142.5,180.7528089887641,123.0,19.5
154,Jung Hoo Lee,SF,808982.0,9.23,504.0,600,550,72,13,76,8,0.282,0.338,0.414,65,40,154,1044,160.5,238.95505617977528,167.0,-6.5
155,Daulton Varsho,TOR,662139.0,6.44,590.0,600,541,62,17,61,10,0.206,0.282,0.355,150,52,111,925,357.5,347.97752808988764,232.0,125.5
156,Christopher Morel,TB,666624.0,8.49,480.0,600,535,68,23,71,10,0.223,0.306,0.41,162,58,118,1017,214.0,270.0730337078652,184.0,30.0
157,Nolan Arenado,STL,571448.0,6.55,601.0,600,549,68,15,78,2,0.262,0.322,0.406,98,45,143,980,279.0,219.14044943820224,151.0,128.0
158,Tommy Edman,LAD,669242.0,8.59,509.0,600,550,73,14,66,13,0.247,0.307,0.385,104,42,136,1006,234.0,190.82022471910116,135.0,99.0
159,Luis Arraez,SD,650333.0,4.82,627.0,600,560,77,8,54,6,0.298,0.342,0.405,39,33,167,982,274.0,184.3033707865169,130.0,144.0
160,Zack Gelof,OAK,680869.0,6.24,512.0,600,546,56,21,55,20,0.222,0.289,0.394,185,46,120,980,279.0,220.036231884058,154.5,124.5
164,Rhys Hoskins,MIL,656555.0,8.06,517.0,600,529,70,25,76,4,0.227,0.315,0.429,167,61,119,1032,186.0,278.15168539325845,194.0,-8.0
165,Logan O'Hoppe,LAA,681351.0,10.0,478.0,600,549,66,28,74,3,0.246,0.307,0.451,164,42,135,1044,160.5,122.28651685393258,84.0,76.5
166,Tyler O'Neill,BAL,641933.0,10.45,454.0,600,527,71,26,77,6,0.224,0.315,0.431,175,62,117,1039,170.0,183.2134831460674,125.0,45.0
167,Jake McCarthy,ARI,664983.0,8.3,488.0,600,544,67,9,67,22,0.256,0.323,0.37,105,41,138,1026,195.0,232.26966292134836,161.0,34.0
168,Parker Meadows,DET,678009.0,8.53,473.0,600,536,67,17,57,25,0.221,0.301,0.376,150,58,119,1025,197.0,190.1123595505618,134.0,63.0
169,TJ Friedl,CIN,670770.0,8.01,494.0,600,534,77,15,55,13,0.245,0.325,0.392,98,48,131,1007,231.5,265.75280898876406,182.0,49.5
170,Kristian Campbell,BOS,692225.0,12.2,367.0,600,523,78,22,81,18,0.281,0.37,0.469,138,60,147,1199,22.0,293.9325842696629,204.0,-182.0
171,J.T. Realmuto,PHI,592663.0,10.71,446.0,600,543,72,21,75,12,0.252,0.319,0.437,154,43,137,1075,114.5,133.01123595505618,96.0,18.5
172,Alec Burleson,STL,676475.0,10.1,451.0,600,554,73,17,78,8,0.268,0.319,0.423,82,38,149,1052,147.5,228.82022471910116,159.0,-11.5
173,Jesus Sanchez,MIA,660821.0,10.38,429.0,600,541,67,22,74,14,0.258,0.327,0.452,155,51,139,1092,91.5,258.5561797752809,177.0,-85.5
174,Tyler Soderstrom,OAK,691016.0,8.21,497.0,600,537,70,26,77,2,0.234,0.311,0.435,153,55,125,1037,173.0,282.8840579710145,196.5,-23.5
178,Thairo Estrada,COL,642731.0,3.9,575.0,600,561,54,17,53,6,0.25,0.296,0.402,128,25,140,926,354.5,341.7231638418079,228.0,126.5
179,Connor Norby,MIA,681393.0,7.21,539.0,600,546,70,21,66,11,0.234,0.3,0.404,173,45,128,1008,228.5,274.7022471910112,191.0,37.5
180,Carlos Correa,MIN,621043.0,9.54,510.0,600,530,80,21,69,2,0.261,0.343,0.444,121,63,138,1066,125.0,238.8314606741573,166.0,-41.0
181,Trevor Larnach,MIN,663616.0,9.49,456.0,600,530,69,21,77,5,0.242,0.327,0.419,157,61,127,1033,182.5,347.0730337078652,231.0,-48.5
182,Jake Cronenworth,SD,630105.0,5.1,569.0,600,530,64,15,67,5,0.247,0.332,0.399,111,56,130,975,288.5,278.03370786516854,193.0,95.5
183,Michael Conforto,LAD,624424.0,9.25,462.0,600,528,71,22,74,2,0.242,0.329,0.432,142,58,128,1029,191.0,290.92134831460675,201.0,-10.0
184,Jacob Young,WSH,696285.0,7.54,462.0,600,546,66,7,55,32,0.24,0.305,0.329,116,40,131,991,252.5,307.4438202247191,215.0,37.5
185,Wilyer Abreu,BOS,677800.0,10.76,415.0,600,540,75,21,76,10,0.252,0.324,0.448,163,54,135,1090,93.0,298.42134831460675,210.0,-117.0
186,Michael Busch,CHC,683737.0,6.5,526.0,600,528,66,21,70,6,0.224,0.316,0.404,171,65,118,1004,237.0,246.6685393258427,171.0,66.0
187,Nolan Schanuel,LAA,694384.0,5.54,547.0,600,518,71,13,60,10,0.259,0.358,0.38,100,71,134,1013,221.5,332.08988764044943,224.0,-2.5
188,Tyler Fitzgerald,SF,666149.0,8.18,505.0,600,553,65,16,64,20,0.232,0.289,0.38,177,40,128,1000,244.5,251.3033707865169,174.0,70.5
189,Ryan Mountcastle,BAL,663624.0,7.49,494.0,600,556,71,19,75,4,0.259,0.311,0.424,134,40,144,1028,192.5,238.1685393258427,165.0,27.5
190,Jackson Holliday,BAL,702616.0,7.6,446.0,600,534,71,20,61,13,0.221,0.303,0.379,180,60,118,991,252.5,212.6629213483146,145.0,107.5
191,Jeimer Candelario,CIN,600869.0,8.28,470.0,600,546,71,21,77,8,0.244,0.31,0.428,139,44,132,1051,150.0,308.2696629213483,217.0,-67.0
192,Austin Wells,NYY,669224.0,9.46,458.0,600,530,81,24,60,4,0.235,0.32,0.432,124,60,124,1027,194.0,188.3370786516854,131.0,63.0
193,Nathaniel Lowe,WSH,663993.0,4.42,584.0,600,521,62,14,64,4,0.258,0.352,0.397,134,73,134,979,281.0,259.5449438202247,178.0,103.0
194,Royce Lewis,MIN,668904.0,10.5,448.0,600,543,81,28,81,2,0.258,0.323,0.47,135,49,140,1116,65.5,116.76966292134831,83.0,-17.5
195,Josh Jung,TEX,673962.0,8.42,488.0,600,559,72,24,76,4,0.252,0.299,0.439,168,34,140,1034,179.5,204.96067415730337,142.0,37.5
196,Joc Pederson,TEX,592626.0,10.69,413.0,600,509,75,26,85,9,0.254,0.364,0.465,136,75,129,1160,41.0,338.20786516853934,227.0,-186.0
197,Otto Lopez,MIA,672640.0,6.37,443.0,600,559,60,13,60,18,0.276,0.323,0.413,105,37,154,1015,217.5,342.5112359550562,229.0,-11.5
198,Luke Raley,SEA,670042.0,8.58,445.0,600,532,70,24,76,11,0.218,0.303,0.407,176,39,115,1041,166.0,303.6966292134832,213.0,-47.0
