Name,FGID,MLBID
Sabin Ceballos,sa3022500,694754
Peyton Burdick,25459,680814
Drew Ehrhard,sa3022748,679602
Carlos Jorge,sa3016722,699115
Luis Santana,sa921577,670919
Grant Richardson,sa3016964,685300
Jadher Areinamo,sa3015802,699130
Riley Tirotta,sa3017078,694661
Vidal Brujan,20536,660644
Justin Dean,sa3007070,681909
Eliezer Alfonzo,sa3003262,672613
Ryan Ignoffo,sa3022573,813883
Tommy Pham,2967,502054
Mark Coley II,sa3022534,696501
Jose Sibrian,sa917196,665715
Max Anderson,sa3022567,801194
Jonah Cox,sa3022541,813841
Carlos Cortes,sa3008079,666126
Noah Myers,sa3023377,671956
Javier Vaz,sa3019906,805834
Jeremy Arocho,sa3004046,671080
Hunter Renfroe,15464,592669
Jordan Dissin,sa3020100,805301
Austin Barnes,12158,605131
Tommy Sacco Jr.,sa3020125,690474
Trey Lipscomb,31567,702358
Nick Raposo,sa3015018,695596
Gavin Collins,sa857219,641468
Reese McGuire,15674,624512
Adam Duvall,10950,594807
Billy McKinney,15654,641856
Rylan Bannon,19768,676625
Riley Adams,19864,656180
Hernan Perez,5751,541650
Andrew Velazquez,14196,623205
Maxwell Romero Jr.,sa3020271,686912
Chase Strumpf,sa3010845,668664
Chris Owings,10030,572008
Francisco Urbaez,sa3014944,688005
Connor Burns,sa3022599,694829
Orlando Martinez,sa3006664,678636
Max Wagner,sa3020415,694484
Dominic Smith,15653,642086
Heriberto Hernandez,sa3005630,681715
Jeron Williams,sa3022566,700784
Sal Stewart,sa3020130,701398
Wilfredo Lara,sa3017123,702906
Kevin Parada,sa3020575,691006
Elehuris Montero,20543,660707
Elias Diaz,11680,553869
Allan Castro,sa3016084,691369
Nasim Nunez,25979,683083
Gary Sanchez,11442,596142
Christian Cerda,sa3015623,692416
Jonah Advincula,sa3023056,809945
Frainyer Chavez,sa3007019,669413
Daylen Lile,sa3017698,695734
Terrell Tatum,sa3017338,695299
Clay Dungan,sa1169803,687867
Drew Maggi,11381,543482
Henry Bolte,sa3020006,703607
Austin Wynns,15271,642851
Silas Ardoin,sa3019976,686976
Bryan De La Cruz,19600,650559
Chad Stevens,sa3017040,677060
Braden Shewmake,25817,669699
Angelo Castellano,sa657521,613546
Yan Gomes,9627,543228
Tyler Wade,15730,642180
Michael Siani,22557,672279
Canaan Smith-Njigba,23264,675986
Nelson Velazquez,23359,676369
Eddinson Paulino,sa3009538,682796
Juan Yepez,18400,660766
Chuckie Robinson,19824,642020
Marty Costes,sa3006783,664753
Brian Serven,19422,661531
Drew Romo,27763,691011
Mike Ford,15585,645801
Aaron Hicks,5297,543305
Kala'i Rosario,sa3015199,693850
Esteban Quiroz,19780,606019
Rene Pinto,19859,650907
Brian Navarreto,16398,640459
Cayden Wallace,sa3019996,691024
Jace Avina,sa3018398,701778
Ray-Patrick Didder,sa736824,642720
David Fletcher,17992,664058
Wes Kath,sa3017172,695770
Hunter Stovall,sa3008181,667663
Luis Liberato,17307,642451
Skye Bolt,17723,621450
Cody Roberts,sa3007869,663944
MJ Melendez,22197,669004
Niko Goodrum,12092,592348
Tom Murphy,13499,608596
GJ Hill,sa3010335,677338
Austin Allen,18083,664119
Walker Jenkins,sa3022894,805805
Yohandy Morales,sa3022672,691002
Brock Jones,sa3020190,677342
Frederick Bencosme,sa3016779,695930
T.J. Rumfield,sa3017330,681198
Matt Hogan,sa3023375,681375
Kahlil Watson,sa3017513,696135
Michael Turner,sa3020658,694478
Caleb Pendleton,sa3022483,692228
Jose Herrera,17040,645444
Abrahan Gutierrez,sa3004263,670868
Will Banfield,sa3007973,677943
Jordan Beck,31431,687597
Tim Elko,sa3020188,671284
Jace Peterson,12325,607054
Luis Gonzalez,20332,670768
Diego Cartaya,sa3008742,682616
Zach Remillard,19788,621545
Brett Phillips,14735,621433
Ryan Cermak,sa3020204,688714
Ji Man Choi,5452,596847
Nick Ahmed,12147,605113
Brock Wilken,sa3022499,694385
Adrian Pinto,sa3015542,691437
Yoyner Fajardo,sa3005938,679938
JT Schwartz,sa3017371,681286
Joe Perez,22254,669309
Edward Olivares,19698,658668
Matthew Lugo,sa1169598,683090
Jon Singleton,10441,572138
Chris Newell,sa3019971,683006
Luken Baker,21497,663609
Jay Harry,sa3022607,803385
Chad Wallach,17161,595453
Jacob Burke,sa3019934,804240
Allan Cerda,sa3005504,678323
Reed Trimble,sa3017180,701655
Chance Sisco,15694,642082
Matt Rudick,sa3017334,689822
Chris Meyers,sa3016956,680273
Kenedy Corona,sa3009845,685744
Damiano Palmegiani,sa3017326,671913
Mitch Garver,15161,641598
Connor Kaiser,21535,663731
Kyle McCann,25575,668832
Chase Davis,sa3022426,690971
Cole Turney,sa3022916,669318
Andy Weber,sa3008282,681581
Jorge Caballero,sa3003360,672850
Yusniel Diaz,18905,666783
Ethan Anderson,sa3025410,803175
Jordan Diaz,22650,672478
Wilmer Difo,14320,594694
Michael Toglia,25845,669911
Turner Hill,sa3020943,806367
Christian Franklin,sa3017510,681047
Pascanel Ferreras,sa3022702,814299
Tyresse Turner,sa3020759,687930
Justin Dirden,sa3014986,688869
Nick Cimillo,sa3020129,701177
Jake Bauers,15194,641343
Michael Perez,12977,605421
Blake Hunt,sa3004153,675448
Hayden Senger,sa3007009,663584
Ezequiel Pagan,sa3007975,681868
Leonel Valera,sa917320,665987
Chandler Seagle,23552,676882
Weston Eberly,sa3022928,814440
Edwin Arroyo,sa3017626,695490
Tim Locastro,15124,641796
Phil Clarke,sa3011379,671287
Anthony Gutierrez,sa3018406,703152
Rece Hinds,27493,677956
Jeremy Eierman,sa3007005,663369
Donovan Solano,8623,456781
Justin Wishkoski,sa3022686,801076
Carlos Linarez,sa3016346,701800
Geisel Cepeda,sa3020717,808206
Omar Martinez,sa3008573,683079
Luke Mann,sa3022529,680996
Hayden Cantrelle,sa3014426,676463
Peyton Wilson,sa3017110,686523
Garrett Cooper,15279,643265
Ben Rice,29576,700250
Erik Gonzalez,13369,570481
Chris Rotondo,sa3019861,700658
Justin Johnson,sa3022758,813386
Chase Adkison,sa3022433,801187
Robert Brooks,sa3022160,806394
Archer Brookman,sa3020950,666386
Brandon McIlwain,sa3015076,666140
Jesus Rodriguez,sa3024321,821119
Josh Crouch,sa3017370,676509
Tres Gonzalez,sa3020121,687206
Bryan Broecker,sa3022814,802541
Luke Maile,13355,571912
Eli Wilson,sa918961,670250
Dylan Campbell,sa3022751,694749
Jackson Castillo,sa3023111,814431
Nate Baez,sa3020272,686960
Hogan Windish,sa3019805,702112
Matthew Dyer,sa3014883,686546
Adael Amador,27962,691182
Kaelen Culpepper,sa3025360,701785
Chris Okey,19245,608360
Dillan Shrum,sa3017111,686770
Micah Pries,sa3014830,687588
Ernesto Martinez Jr.,sa3003173,667803
Patrick Lee,sa3023666,815268
Dom Nunez,15055,624513
Garrett Stubbs,18067,596117
Isiah Gilliam,sa829343,656462
Cade Doughty,sa3020196,683103
Lazaro Armenteros,sa969091,670860
Rowdy Tellez,15679,642133
Kevin Plawecki,13807,608700
Andrew Pinckney,sa3022670,687605
Chris Brito,sa3023486,701594
Zach Humphreys,sa3016853,668876
Joshua Kuroda-Grauer,sa3025386,811965
Jacob Sharp,sa3022489,814435
Rayne Doncon,sa3016720,699061
Jose Devers,20540,672701
Tristin English,sa876328,663536
Dalton Shuffield,sa3020270,684922
Mark Kolozsvary,21304,656627
Jacob Buchberger,sa3014987,689750
Jameson Hannah,sa3007046,680683
Jared Sundstrom,sa3022442,814791
Jeisson Rosario,sa3004146,671271
Dayan Frias,sa3008768,682679
Caleb Knight,sa3008279,676332
Adam Hackenberg,sa3017041,680753
Zach Daniels,sa3014935,671113
Brett Squires,sa3020714,689531
Drew Cavanaugh,sa3022682,701852
Donny Sands,18603,664848
Darick Hall,19717,669742
Jimmy Glowenke,sa3014548,694368
Yolbert Sanchez,sa3011471,691503
Nick Clarno,sa3019904,805339
BJ Murray Jr.,sa3017287,681230
Pablo Aliendo,sa3006220,680846
Caleb Cali,sa3022651,687730
Miguel Sano,12164,593934
Ben Malgeri,sa3016975,701162
Ben Gobbel,sa3019870,806534
David Mershon,sa3025335,702574
Tyler Payne,21139,665066
Robbie Grossman,5254,543257
Max Ferguson,sa3016819,681132
Bryce Eldridge,sa3022757,805811
Tyler Neslony,sa918131,664104
Alex De Jesus,sa3008842,682942
Justice Bigbie,sa3016971,694425
Nathan Church,sa3019842,701675
Joey Wendle,13853,621563
Mason Auer,sa3017791,687020
Paul McIntosh,sa3017372,682192
Will Wilson,sa3009871,669717
Carter Bins,sa1115884,670190
Jim Jarvis,sa3022891,805347
Drake Osborn,sa3017077,688311
Avisail Garcia,5760,541645
Chavez Young,sa918963,669945
Abimelec Ortiz,sa3016926,694673
Joe Lampe,sa3020642,802407
Ian Moller,sa3017171,695744
Dylan Shockley,sa1170874,686758
Caden Rose,sa3023458,694896
Peyton Williams,sa3020099,805268
Aaron Palensky,sa3015077,695312
Alfonso Rivas III,21560,663845
C.J. Stubbs,sa3010328,667690
Michael De La Cruz,sa736830,631222
Nate Mondou,19563,670148
Duce Gourson,sa3025248,701546
Leury Garcia,5913,544725
Randal Grichuk,10243,545341
Micael Ramirez,sa3004883,676017
Malcolm Moore,sa3025250,702270
Moises Gomez,sa875163,664332
Michael Turconi,sa3020195,681580
Ryan Galanie,sa3022759,814436
Trevor Werner,sa3022592,687731
Antonio Gomez,sa3008746,682625
Mario Camilletti,sa3020192,680519
Jancarlos Cintron,sa3004065,676857
Jesus Ordonez,sa3010603,691116
Hunter Bishop,sa3011413,666183
Tyler Tolve,sa3016960,681172
Onil Perez,sa3015610,692366
Francisco Acuna,sa3003291,672696
Andrew McCutchen,9847,457705
Joshua Mears,sa3010162,687084
Austin Deming,sa3022813,801471
Ramon Mendoza,sa3007513,680636
Brett Auerbach,sa3014941,682266
Albert Almora Jr.,14109,546991
John Michael Faile,sa3023579,702114
Danny Serretti,sa3019967,681400
Kendall Simmons,sa3006867,669227
Bill Knight,sa3019965,681098
Will Robertson,sa3009879,683770
Andy Thomas,sa3016953,673990
Christian Arroyo,16434,624414
Kevin Made,sa3014679,691183
Bryan Rincon,sa3020221,804858
Geovanny Planchart,sa3009334,685712
Denzer Guzman,sa3015711,694203
Kamren James,sa3020201,687553
Tucker Mitchell,sa3017511,688367
Wuilfredo Antunez,sa3011578,686404
Tommy Troy,sa3022561,694371
Errol Robinson,sa857819,642021
Jason Matthews,sa3018152,667240
Luis Lara,sa3018514,800325
Felix Stevens,sa3008946,685474
Gabriel Rincones Jr.,sa3020758,687282
Matthew Wood,sa3019924,687783
Wes Clarke,sa3017045,682265
Sean Roby,sa3007788,681852
Justin Riemer,sa3025086,811312
Matt Fraizer,sa918983,670208
Kiko Romero,sa3022669,687340
Dakota Harris,sa3022431,703766
Blaze Jordan,sa3014537,691458
Victor Arias,sa3015636,692478
Shayne Fontana,sa3010897,687833
Blake Mitchell,sa3022756,805810
Dylan O'Rae,sa3020220,802506
Seth Beer,20493,666179
Caleb Ricketts,sa3019917,681080
Loidel Chapelli,sa3019400,703070
Kyren Paris,26420,677347
Roc Riggio,sa3022750,691792
Austin Nola,15941,543592
Alex Binelas,sa3017044,681323
Luke Berryhill,sa3011587,666124
Edwin Rios,18316,621458
Matt Carpenter,8090,572761
Alsander Womack,sa3018214,703920
Cade Fergus,sa3019919,681495
Adrian Placencia,sa3014688,691269
Noelvi Marte,26517,682622
Ryan Clifford,sa3020126,691775
Landon Wallace,sa3022533,695068
Jaden Rudd,sa3017178,701437
Matt Whatley,sa915868,675662
Carlos Santiago,sa3005565,678807
Alfredo Velasquez,sa3018556,800414
Julio E. Rodriguez,sa917669,667372
Willie Calhoun,17838,641432
Andy Blake,sa3022535,701544
Patrick Winkel,sa3017556,680868
Aledmys Diaz,15937,649557
Jake Cunningham,sa3023269,801507
Jonny Butler,sa3017292,695358
Sandy Leon,5273,506702
Luis Mieses,sa3003274,672635
Graysen Tarlow,sa3022443,815104
Austin Murr,sa3016967,689456
Charlie Szykowny,sa3022689,805126
Esteban Gonzalez,sa3015535,691416
Joshua Baez,sa3017022,695491
Gabriel Gonzalez,sa3015723,694224
Ehire Adrianza,8418,501303
Ethan O'Donnell,sa3022616,807751
Kyle Hayes,sa3018212,690469
Jake Fox,sa3017734,695780
Collin Burns,sa3017176,700936
Trei Cruz,sa3014420,669360
Cam Collier,sa3020131,702253
Chris Roller,23557,676896
Noah Miller,sa3017512,695653
Andres Sosa,sa3017605,703245
David Calabrese,sa3014507,683341
Griff O'Ferrall,sa3025409,803172
A.J. Vukovich,sa3014525,691021
Mike Brosseau,19683,670712
Brady Lindsly,sa3014942,686251
Jay Allen II,sa3017403,695481
Dylan Dreiling,sa3025251,702662
Brett Callahan,sa3022927,814430
Nick Lorusso,sa3022810,700681
Jake Thompson,sa3019945,700081
Blake Robertson,sa3020200,687545
Kervin Pichardo,sa3011260,682775
Jommer Hernandez,sa3005586,678912
Troy Schreffler,sa3019921,687285
Peyton Graham,sa3019990,689931
Joey Votto,4314,458015
Sam Kulasingam,sa3025316,814528
Luca Tresh,sa3017394,681123
Robert Hassell III,sa3014701,690987
Troy Claunch,sa3020346,669475
Malcom Nunez,sa3008113,682650
Jordan Thompson,sa3022497,691948
Quincy McAfee,sa1159899,687331
Arturo De Freitas,sa3005939,679972
Boston Baro,sa3022962,805951
Bubba Alleyne,sa3019902,804588
Connor Charping,sa3020014,806464
Collin Price,sa3019935,805672
Tucker Barnhart,10200,571466
Nick Kahle,sa1115979,685277
Tony Bullard,sa3022556,669233
Daniel Vellojin,sa3005587,678962
Izaac Pacheco,sa3016969,691789
Romeo Sanabria,sa3019865,703804
Corey Rosier,sa3016961,681468
Cristian Hernandez,sa3015696,694183
Matt Duffy,13836,622110
Eric Brown Jr.,sa3019923,687521
Andrew Pintar,sa3020715,801464
Karell Paz,sa3018969,801740
Damon Keith,sa3017179,701618
Josh Rivera,sa3022590,687069
Nate Nankil,sa3022532,694977
William Simoneit,sa3014885,686766
Zac Fascia,sa3018001,659359
Nick Lucky,sa3024896,681879
Jeffrey Wehler,sa3022159,694292
Jared Dickey,sa3022688,801406
Ben Ramirez,sa3016950,668756
Zach Kokoska,sa3017165,694808
Kobe Kato,sa3017052,701158
Jose Izarra,sa3019998,692222
Zach Morgan,sa3019968,681439
Nick Martini,12005,605361
Patrick Dorrian,sa3007629,657562
Casey Opitz,sa3017509,676053
Christopher Familia,sa3011776,683532
Wyatt Hendrie,sa3017163,689134
Rodolfo Castro,21987,666801
Juan Montero,sa3015314,695467
Josh Hatcher,sa3020115,677049
Zac Veen,sa3014516,691728
Carson Roccaforte,sa3022825,811287
Drew Mount,sa3006728,681898
George Lombard Jr.,sa3023233,806146
Aron Estrada,sa3018552,800406
Jake Rucker,sa3017757,696160
Scott Kapers,sa3007013,663727
Bennett Lee,sa3022679,700939
Luis Caicuto,sa3016923,691276
Euribiel Angeles,sa3008877,683494
Dustin Dickerson,sa3022828,815039
Gleider Figuereo,sa3015813,699213
Jeremy Rivas,sa3015193,692405
Edgar Alvarez,sa3025269,827294
Matt Beaty,17710,607461
Alerick Soularie,sa3014436,669442
Wilderd Patino,sa3007874,679741
Parker Chavers,sa3017939,685091
Max Burt,sa3007631,661733
Nicholas Northcut,sa3007640,678021
Phillip Sikes,sa3017113,689651
Arturo Disla,sa3022618,815697
Ronald Hernandez,sa3015738,698933
Jack Lopez,13663,605346
Kris Bryant,15429,592178
Colby Halter,sa3022531,690985
Drew Lugbauer,sa829268,656666
Tyler Robertson,sa3020010,805234
Alberto Rodriguez,sa3005603,679754
Jarryd Dale,sa3007022,673062
Samuel Zavala,sa3015718,694214
Hector Rodriguez,sa3015828,699302
Colin Barber,sa3010696,683145
Peter Burns,sa3022424,686196
Aramis Garcia,16925,605244
Junior Perez,sa3005744,678577
William Bergolla,sa3019777,703151
Amed Rosario,15518,642708
Zach Arnold,sa3022593,689984
Cade Hunter,sa3020199,687192
Ryan Casteel,sa549286,592205
Max McDowell,sa875626,664120
Robert Moore,sa3019928,691001
Ryan Lasko,sa3022539,805782
DJ Stewart,17766,621466
Connor Kokx,sa3017735,701634
Darius Hill,sa3010395,675628
Brian Anderson,18289,605119
Keaton Anthony,sa3022608,805704
Cole Roberts,sa3022403,689731
Quinn McDaniel,sa3022701,814194
Jairo Pomares,sa3010023,682646
Terence Doston,sa1170340,688392
Grant Witherspoon,sa3007047,680710
Raudelis Martinez,sa3016835,696020
Keshawn Ogans,sa3019893,687248
Logan Warmoth,sa3004813,657089
J.T. Arruda,sa3010036,686793
Shawn Goosenberg,sa3017116,700361
Murphy Stehly,sa3020276,693822
David Dahl,13744,621311
Nelson Medina,sa3005549,678729
Tyler Dearden,sa3005103,676280
Colby Smelley,sa3017797,702457
Nick Ward,sa3007089,682187
Nick Senzel,19293,669222
Rainer Nunez,sa3005551,678742
Noah Mendlinger,sa3017001,702331
Erick Brito,sa3011753,684081
Angel Zarate,sa3020825,702311
Nelson Rada,sa3018421,703185
Jacob Godman,sa3022504,702066
Josh Hood,sa3020268,681377
Nelson Quiroz,sa3009565,685716
Alex Isola,sa1170516,684576
Elliot Soto,11155,519303
Nick Schnell,sa3007639,678010
Carter Kieboom,19958,666198
Zach Britton,sa3014821,676309
Kevin Padlo,16593,656821
Casey Yamauchi,sa3022528,671748
Juan Zabala,sa913717,668558
Quincy Nieporte,sa3004819,676811
Bryce Windham,sa3010403,690180
Duke Ellis,27543,668752
Randy Florentino,sa3005529,678594
Jesus Moreno,sa3007914,678986
Jalen Vasquez,sa3022920,694884
Pierce Bennett,sa3022816,803139
Justin Bench,sa3020494,699478
Freddy Zamora,sa3014500,668965
Andrew Knizner,19514,668800
Israel Pineda,22906,672832
David Avitia,sa3020939,669347
Jesus Valdez,sa3005492,678232
Kevin Kilpatrick Jr.,sa3019891,687201
Kyle Battle,sa3016968,690350
Eric Yang,27698,687066
R.J. Yeager,sa3019840,694271
Travis Jankowski,13768,608671
Vaun Brown,sa3017282,673901
Charlie Blackmon,7859,453568
Je'Von Ward,sa3004969,669219
Ethan Salas,sa3020881,806956
Chris Lanzilli,sa3020275,687811
Maxwell Costes,sa3020001,696272
Narbe Cruz,sa3015205,700358
Jacob Gonzalez,sa3022498,694378
Geraldi Diaz,sa3002635,673145
Rixon Wingrove,sa3007298,678534
Jacob Reimer,sa3020416,702544
Andy Yerzy,sa917939,647378
Cortland Lawson,sa3020202,687751
Myles Emmerson,sa3016862,689880
Eduardo Lopez,sa3009275,682637
Jefferson Rojas,sa3018571,800473
Angel Galarraga,sa3011810,687679
Harold Ramirez,14387,623912
Kevin Bruggeman,sa3023073,815755
Brennan Orf,sa3022570,804710
Trey Faltine,sa3020118,683104
Sergio Campana,sa3009834,682656
Jackie Bradley Jr.,12984,598265
Sammy Siani,sa3010704,686445
Jake Anchia,sa3006674,680971
Diego Infante,sa3003280,672653
Eduardo Garcia,sa3008751,682633
Joe Suozzi,sa3015106,679545
Matt O'Neill,sa1170279,690841
Andrick Nava,sa3010693,682774
DJ Gladney,sa3010043,687554
Andy Garriola,sa3020458,696513
Aeverson Arteaga,sa3014707,692348
Gabriel Rodriguez,sa3008744,682621
CJ Rodriguez,sa3017283,675430
Cameron Barstad,sa3011350,677319
Jac Caglianone,sa3025245,695506
Emaarion Boyd,sa3020281,702708
Miguel Hiraldo,sa3005486,677599
Eddie Rosario,12155,592696
Yamal Encarnacion,sa3015781,699043
D'Andre Smith,sa3020536,694266
Casey Saucke,sa3025382,695565
Ethan Workinger,sa3015166,689688
J.J. D'Orazio,sa3008876,683490
Felix Valerio,sa3005613,680589
Devin Hurdle,sa3022655,701152
Poncho Ruiz,sa3022752,695000
Daniel Cope,sa3010157,684543
River Town,sa3017118,701817
Osiris Johnson,sa3008110,677341
Joe Olsavsky,sa3023289,815586
Logan Cerny,sa3017661,681488
Ben Ross,sa3020353,805346
Jamari Baylor,sa3011446,687072
Bryant Betancourt,sa3015846,700164
Freuddy Batista,sa3002866,673945
Brandon Martorano,sa918686,668785
Marco Soto,sa3016872,699709
Stephen Piscotty,13367,572039
Gage Miller,sa3025205,824028
Miguel Hernandez,sa917055,665912
Brody Moore,sa3019839,690914
Jonathan Arauz,20275,660620
Darrien Miller,sa3011330,687152
Jesus Galiz,sa3015700,694188
Javier Valdes,sa3010902,688002
Logan Tanner,sa3020117,683091
Gavin Logan,sa3020191,678099
Walker Janek,sa3025254,801075
Phillip Evans,12950,595943
Mitch Jebb,sa3022565,694991
Lamar Sparks,sa3004932,676473
Gavin Sheets,19901,657757
Junior Tilien,sa3015187,691708
Adam Hall,sa3005077,647228
Austin Callahan,sa3017407,702472
Thomas Gavello,sa3020122,687284
Nolan McLean,sa3023053,690997
Elis Barreat,sa3018383,692412
Aaron McKeithan,sa3016977,702463
Jake Hager,12198,606993
Carlos Amaya,sa3016136,692650
Jose Acosta,sa3006187,678584
Reivaj Garcia,sa3006900,678706
D'Shawn Knowles,sa3006889,677610
Drew Compton,sa3022495,686541
Jose Torres,sa3017396,686958
Warming Bernabel,sa3008761,682653
Jared Wegner,sa3022695,808767
Dom Johnson,sa3020537,694336
Jared Thomas,sa3022589,683228
Jack Winkler,sa3017393,676466
Calvin Harris,sa3022496,691941
Jalen Battles,sa3020205,689216
Nerwilian Cedeno,sa3010026,683481
Damon Dues,sa3017285,680815
Willy Vasquez,sa3011821,691938
Luis Verdugo,sa3006888,677605
Jim Haley,sa918418,670113
Jorge Burgos,sa3008929,684222
Grant Koch,22045,667428
Garrett Martin,sa3022806,682003
Justin Janas,sa3019903,805332
Adam Zebrowski,sa3017221,700845
Onix Vega,sa3008007,681974
Spencer Nivens,sa3022697,811289
Zach Cole,sa3019937,805904
Ronaldo Hernandez,sa881850,660613
Trevor Schwecke,sa3009874,673893
Colton Bender,sa3016828,701209
Jean Ramirez,sa3008452,683031
Anthony Mulrine,sa1170373,688226
Jordan Brewer,sa3011737,685084
Ronaldo Flores,sa3009551,683612
Konner Piotto,sa3016810,702920
Anyelo Encarnacion,sa3016157,699031
Trey Paige,sa3022440,813852
Elijah Nunez,sa3022674,694399
Jack Hurley,sa3022564,694815
Willie Joe Garry Jr.,sa3007065,681831
Kyle Hess,sa3023651,680740
P.J. Higgins,18433,664731
Zach Reks,19667,676646
Keyber Rodriguez,sa3005488,677601
Kyle Datres,sa3008029,663979
Cody Wilson,24671,680963
Austin Beck,sa3004055,675648
Matt Higgins,sa3020128,696487
P.J. Hilson,sa3007048,680713
Ryan Leitch,sa3019943,683318
Dylan Jasso,sa3022830,815734
Brady Allen,sa3018098,680918
Mac McCroskey,sa3022444,815151
Jorel Ortega,sa3020090,687567
Brennen Davis,sa3007876,680695
Michael Curialle,sa3019837,683152
Wade Stauss,sa3017000,702328
Mike Jarvis,sa3017401,690448
Ambioris Tavarez,sa3019895,694222
Bladimir Restituyo,sa3006621,678837
Sam Praytor,sa3017151,671217
Yanquiel Fernandez,sa3015648,692585
Jose Rojas,19331,670351
Jack Reinheimer,14938,595373
Alain Camou,sa3018450,800126
Jake Gelof,sa3022600,695372
Diego Hernandez,sa3024120,821027
Matt Coutney,sa3020413,671925
Cody Freeman,sa3010153,683227
Frank Rodriguez,sa3009330,684491
Jackson Glenn,sa3017478,690107
James Tibbs III,sa3025333,696486
Andrew Jenkins,sa3019979,687543
Brayan Buelvas,sa3008868,683454
Sahid Valenzuela,sa3014882,684541
Josue De Paula,sa3018591,800543
Hudson Head,sa3010889,687431
Brandon Parker,sa1169878,688556
Alexander Suarez,sa3008915,683665
Jordy Barley,sa3004148,672357
Marcus Lee Sang,sa3011445,686984
Rowdey Jordan,sa3017214,679821
Javier Rivas,sa3015589,691922
Alejandro Nunez,sa3018977,805168
Andrew Fernandez,sa3020870,809327
Shervyen Newton,sa917119,665989
Robert Perez Jr.,sa3002851,672596
Kyle Garlick,18063,664247
Colby Jones,sa3025224,803475
Brady Whalen,sa918278,669714
Ynmanol Marinez,sa3005716,677577
Cutter Coffey,sa3020280,702690
Addison Kopack,sa3023052,688551
Daniel Mateo,sa3010886,686863
Andrew Kachel,sa3020140,803288
Nathan Hickey,sa3017398,687208
Caden Connor,sa3022755,804645
Cal Conley,sa3017080,695462
Charlie Condon,sa3025257,809707
Aaron Bracho,sa3010018,677570
Brenden Dixon,sa3017397,686981
Ronald Rosario,sa3015525,691385
Johnny Tincher,sa3023072,814816
Gionti Turner,sa3007326,682090
Cade Bunnell,sa3010702,685298
Brett Johnson,sa3019869,805842
Omar Hernandez,sa3010155,683427
Kenni Gomez,sa3018430,703198
Glenn Santiago,sa3010341,687426
Jared Walsh,18607,665120
Benjamin Blackwell,sa3022922,701295
Zach Ehrhard,sa3025247,701394
Jordan Sprinkle,sa3019925,688394
Cole Cummings,sa3016830,702113
Jose Ramos,sa3016541,692374
Caleb Hamilton,19842,643348
Julio Carreras,sa3005598,679734
Rodolfo Nolasco,sa3008907,683616
Garrett Spain,sa3017174,696521
Caeden Trenkle,sa3019991,689959
Sebastian Walcott,sa3021069,806964
Beau Brewer,sa3020013,806314
Agustin Ruiz,sa3004149,672361
Josh Breaux,sa3008051,677007
Hunter Dozier,15117,641531
William Lugo,sa3010876,683493
Wally Soto,sa3016642,695222
Nelly Taylor,sa3023426,807511
Carter Young,sa3020534,677356
Anthony Huezo,sa3022691,805953
Donovan Casey,sa915654,661541
Alvaro Gonzalez,sa3005715,677572
Aaron Shackelford,sa1169950,687823
Korey Morton,sa3025436,808814
Joe Donovan,sa3015088,676973
Wyatt Crenshaw,sa3022406,809846
Jean Arnaez,sa3016120,692484
Jackson Loftin,sa3019931,699816
Will McGillis,sa3022536,702217
Justin Boyd,sa3020123,687628
Lolo Sanchez,sa917767,665975
Ryan Wrobleski,sa3020239,696141
Hunter Haas,sa3022918,690983
Jose Godoy,15808,608422
E.J. Exposito,sa3019900,802991
Quincy Scott,sa3022656,701701
Elio Prado,sa3008807,682799
Cristopher Navarro,sa917065,665888
Bryson Ware,sa3022597,694310
Eddie Park,sa3022502,695023
Dereck Salom,sa3005925,678828
Johnny Ascanio,sa3015526,691392
Brenny Escanio,sa3015565,691601
Ethan Murray,sa3017051,696140
Bryce Arnold,sa3022557,683301
Zach Levenson,sa3022435,804241
Jacob Wetzel,sa3015057,689047
Devin Ortiz,sa3020345,668776
Martin Maldonado,6887,455117
Maikol Escotto,sa3008878,683500
Nick Biddison,sa3019888,680994
Matt Lloyd,sa1169978,651016
Deivis Nadal,sa3008879,683504
Cole Foster,sa3022673,694369
Hunter Fitz-Gerald,sa3022482,686638
Cole Roederer,sa3008184,680711
Torin Montgomery,sa3019823,687942
Luke Brown,sa3017333,687493
Sebastian  Rivero,21735,665861
Yeiner Fernandez,sa3015182,691558
Paul Witt,sa3014949,700685
Anthony Hall,sa3019987,689141
Kale Emshoff,sa3014934,668860
Leandro Pineda,sa3008905,683610
Rosman Verdugo,sa3018393,698916
Caleb Ketchup,sa3022436,810053
Kai Murphy,sa3019857,687625
Viandel Pena,sa3005775,678854
Juan Alonso,sa3016331,699076
Jayce Easley,sa3007057,681068
Yohendrick Pinango,sa3009539,682818
Shane Matheny,sa3004780,676847
Luis Valdez,sa3016076,687667
Miguel Villarroel,sa3015631,692446
Dermis Garcia,20926,660650
Ethan Hearn,sa3011502,683001
Luis Baez,sa3018482,800232
Yan Contreras,sa1169894,687073
Lonnie White Jr.,sa3017628,696145
Gavin Dugas,sa3022667,681171
Trevor Boone,sa3010336,685392
Griffin Lockwood-Powell,sa3019303,674976
Rolando Espinosa,sa3005774,678849
Luke Gold,sa3019986,688780
Kellum Clark,sa3022749,690969
T.J. Schofield-Sam,sa3011501,672013
Tanner O'Tremba,sa3020116,681201
Jacob Campbell,sa3019836,680775
Fraymi De Leon,sa3018436,703205
Kristian Robinson,sa3006884,677565
