Name,FGID,MLBID
Alec Burleson,27615,676475
James Outman,24770,681546
Royce Lewis,20437,668904
Kyle Manzardo,29794,700932
Matt Shaw,sa3022615,807713
Brayan Rocchio,23690,677587
Jimmy Crooks,sa3019841,699625
Ivan Herrera,20599,671056
Jake Cronenworth,18036,630105
Paul Goldschmidt,9218,502671
Jesus Sanchez,19913,660821
Nacho Alvarez Jr.,31765,805373
Joe Mack,sa3017374,691788
Joey Ortiz,25493,687401
Jose Siri,17452,642350
Cole Young,sa3020459,702284
Leo Jimenez,23782,677870
Kameron Misner,26374,670224
Jeff McNeil,15362,643446
Joc Pederson,11899,592626
Ryan Bliss,29547,669208
Connor Norby,29592,681393
Alan Roden,sa3020212,702176
Kyle Teel,sa3022886,691019
Geraldo Perdomo,22799,672695
Nolan Gorman,22263,669357
Victor Robles,18363,645302
Danny Jansen,16535,643376
Brett Baty,26123,683146
George Springer,12856,543807
Jasson Dominguez,28080,691176
Chas McCormick,19599,676801
Oswald Peraza,22823,672724
Luis Arraez,18568,650333
Samuel Basallo,sa3015716,694212
Jake Rogers,19452,668670
Carter Jensen,sa3017339,695600
Travis d'Arnaud,7739,518595
Emmanuel Rodriguez,sa3014693,691181
Luis Urias,16622,649966
Taylor Trammell,19960,666211
Drake Baldwin,sa3019920,686948
Jose Trevino,16725,624431
Dylan Moore,18042,664238
Otto Lopez,19608,672640
Michael Massey,27684,686681
Ernie Clement,20352,676391
Endy Rodriguez,25332,682848
Agustin Ramirez,sa3009276,682663
Thayron Liranzo,sa3015790,699073
Marcell Ozuna,10324,542303
Michael Stefanic,25353,683021
Jose Caballero,23401,676609
Luis Rengifo,19858,650859
Coco Montes,21547,663796
Jung Hoo Lee,33824,808982
Estevan Florial,19151,664314
Drew Avans,sa3006937,682183
Payton Eeles,sa3023622,823356
Spencer Steer,26323,668715
Luke Raley,19354,670042
Drew Waters,20505,671221
Denzel Clarke,sa3017426,672016
David Villar,24782,681584
Ke'Bryan Hayes,18577,663647
Jonatan Clase,26599,682729
Jacob Wilson,33266,805779
Johnathan Rodriguez,22530,671286
Andrew Navigato,sa3010703,685382
Edgar Quero,sa3015239,700337
Enrique Bradfield Jr.,sa3022917,690961
Mike Yastrzemski,14854,573262
Juan Brito,sa3009808,682877
Josh Naylor,18839,647304
Vinnie Pasquantino,27676,686469
Jesus Bastidas,sa916969,665846
Jake Mangum,sa3011255,663968
Jose Miranda,20538,669304
Kerry Carpenter,25961,681481
Moises Ballesteros,sa3015713,694208
Nolan Jones,20529,666134
Spencer Torkelson,27465,679529
Jared Triolo,25807,669707
Gio Urshela,10681,570482
Ramon Urias,18795,602104
Dairon Blanco,19779,680118
Daz Cameron,18353,663662
Logan Driscoll,25475,686482
Jorge Mateo,17273,622761
Thomas Saggese,27883,695336
Evan Carter,27790,694497
Jose Tena,23691,677588
Eddys Leonard,sa3005554,678760
Casey Schmitt,27577,669477
Gabriel Arias,22563,672356
Kody Huff,sa3019982,687627
Joey Loperfido,29630,694388
Brandon Lockridge,21496,663604
Miguel Rojas,7802,500743
Yoan Moncada,17232,660162
Jack Suwinski,22244,669261
Ryan Ritter,sa3020206,690022
Alex Call,19296,669743
Nathan Lukes,18123,664770
Kyle Isbel,21614,664728
Alek Thomas,23792,677950
Adrian Del Castillo,29554,680728
Cesar Salazar,21587,663967
DJ LeMahieu,9874,518934
Jared Young,20404,676724
Harrison Bader,18030,664056
Vaughn Grissom,26031,687093
Lourdes Gurriel Jr.,19238,666971
Willie MacIver,sa3007828,680862
Sam Huff,22209,669087
Garrett Mitchell,27555,669003
TJ Friedl,19522,670770
Christopher Morel,21897,666624
Jake McCarthy,21622,664983
Jair Camargo,21730,665856
Nick Allen,22277,669397
Jeimer Candelario,13621,600869
Mike Tauchman,15274,643565
Anthony Prato,sa1052903,668791
Pedro Leon,27781,694175
Gavin Lux,19955,666158
Samad Taylor,22274,669392
Brett Wisely,27735,689172
Freddy Fermin,21840,666023
Max Muncy,sa3017290,691777
David Hamilton,27531,666152
Darell Hernaiz,26224,687231
Gage Workman,sa3014441,669398
C.J. Kayfus,sa3023068,692216
Leonardo Bernal,sa3015773,699024
Justin Foscue,27501,679822
Alex Verdugo,17027,657077
Will Brennan,25660,686823
Oswaldo Cabrera,21707,665828
Ezequiel Duran,23733,677649
Jordan Lawlar,29976,691783
Jorbit Vivas,sa3005511,678391
Willi Castro,17338,650489
Triston Casas,22514,671213
Josh Jung,26299,673962
Vinny Capra,25040,681962
Cesar Prieto,sa3018100,693409
Jorge Polanco,13152,593871
Cam Devanney,sa1170010,687478
Buddy Kennedy,22505,671083
Mickey Gasper,24759,681508
Blake Perkins,19921,663368
Brett Harris,29788,695391
Jeferson Quero,sa3015407,691620
Zach DeLoach,27471,676113
Livan Soto,22471,670869
Henry Davis,29617,680779
Justin Crawford,sa3020240,702222
Andrew Benintendi,17901,643217
Ronny Mauricio,23698,677595
Bryce Johnson,20002,669369
Ricardo Olivar,sa3015234,691627
Drew Millas,25643,686452
Angel Martinez,26540,682657
Josh Rojas,19734,668942
Tyler Freeman,22532,671289
Johan Rojas,24336,679032
Luke Adams,sa3020135,702726
Max Kepler,12144,596146
Yasmani Grandal,11368,518735
Diego A. Castillo,19906,660636
John Rave,sa918890,670231
Tyler Gentry,27784,694355
Nick Dunn,sa915613,680709
Kevin McGonigle,sa3022895,805808
Eli White,19346,642201
Matt Vierling,21558,663837
RJ Schreck,sa3022602,702302
Jonny DeLuca,26365,676356
Owen Caissie,sa3014465,683357
Tre' Morgan,sa3022919,691003
Bob Seymour,sa3017852,676044
Riley Unroe,sa737614,624523
Luisangel Acuna,26548,682668
Scott Kingery,17975,664068
Derek Hill,16947,656537
Emmanuel Rivera,19890,656896
Christian Koss,sa3011227,683766
Carson Kelly,13620,608348
Mason McCoy,22232,669200
Spencer Jones,sa3019969,682987
Brooks Lee,31595,686797
Braxton Fulford,sa3017164,690924
Travis Bazzana,sa3025129,683953
