,BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,Brl%,EV 90,xwOBA,xBA
1163,Kristian Campbell,692225,15.0,8.0,0.0,78,30,22,3,6,0,6,2,0,4,0,0,0,0,0.7333333333333333,0.38461538461538464,0.2,0.4,0.0,0.4,0.0,LHP,409,58,0.46551724137931033,0.29310344827586204,0.1896551724137931,0.3275862068965517,0.23696682464454977,0.08620689655172414,104.46,0.37415624999999997,0.27408641975308645
1164,Kyle Farmer,571657,19.0,18.0,6.0,59,27,21,4,1,0,14,5,6,3,4,2,0,0,0.7777777777777778,0.4576271186440678,0.21052631578947367,0.05263157894736842,0.3333333333333333,0.3684210526315789,0.4444444444444444,LHP,244,53,0.33962264150943394,0.37735849056603776,0.20754716981132076,0.4528301886792453,0.32710280373831774,0.03773584905660377,100.82,0.28218055555555555,0.24651470588235297
1165,Kyle Higashioka,543309,12.0,12.0,5.0,41,22,14,3,0,0,9,1,5,2,3,2,0,0,0.6363636363636364,0.5365853658536586,0.25,0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,LHP,156,36,0.3333333333333333,0.3055555555555556,0.19444444444444445,0.3333333333333333,0.24050632911392406,0.1111111111111111,104.71000000000001,0.34155555555555556,0.2912790697674419
1166,Kyle Isbel,664728,5.0,4.0,0.0,22,11,6,2,0,0,3,3,0,0,0,0,0,0,0.5454545454545454,0.5,0.4,0.0,0.0,0.0,0.0,LHP,239,46,0.43478260869565216,0.15217391304347827,0.1956521739130435,0.2391304347826087,0.29310344827586204,0.021739130434782608,99.88000000000002,0.18631147540983606,0.1647258064516129
1167,Kyle Manzardo,700932,19.0,14.0,6.0,71,31,21,2,3,1,13,3,5,4,0,1,1,4,0.6774193548387096,0.43661971830985913,0.10526315789473684,0.15789473684210525,0.42857142857142855,0.5263157894736842,1.5,LHP,361,54,0.3148148148148148,0.18518518518518517,0.42592592592592593,0.25925925925925924,0.21052631578947367,0.18518518518518517,103.44,0.35366498876404495,0.19886842105263158
1168,Kyle Schwarber,656941,42.0,32.0,12.0,185,62,43,9,8,2,23,4,8,8,6,1,1,4,0.6935483870967742,0.33513513513513515,0.21428571428571427,0.19047619047619047,0.375,0.5238095238095238,0.84375,LHP,481,65,0.36923076923076925,0.2,0.35384615384615387,0.36923076923076925,0.18218623481781376,0.12307692307692308,108.78,0.4270347207207207,0.2694943820224719
1169,Kyle Stowers,669065,27.0,24.0,12.0,85,52,33,5,2,0,20,13,3,3,9,2,1,0,0.6346153846153846,0.611764705882353,0.18518518518518517,0.07407407407407407,0.5,0.5185185185185185,0.6666666666666666,LHP,349,51,0.5098039215686274,0.27450980392156865,0.17647058823529413,0.37254901960784315,0.28,0.17647058823529413,105.1,0.3270906129032258,0.233320987654321
1170,Kyle Tucker,663656,33.0,30.0,9.0,126,57,43,4,3,0,26,4,8,12,3,3,0,3,0.7543859649122807,0.4523809523809524,0.12121212121212122,0.09090909090909091,0.3,0.36363636363636365,0.7,LHP,477,88,0.22727272727272727,0.2840909090909091,0.3977272727272727,0.4431818181818182,0.1864406779661017,0.1590909090909091,102.74,0.435475,0.3092621359223301
1171,Kyren Paris,677347,17.0,14.0,4.0,56,25,15,5,1,2,9,2,2,5,2,0,0,2,0.6,0.44642857142857145,0.29411764705882354,0.058823529411764705,0.2857142857142857,0.4117647058823529,0.7142857142857143,LHP,237,35,0.4857142857142857,0.14285714285714285,0.34285714285714286,0.3142857142857143,0.3017241379310345,0.2,104.15,0.3576854545454546,0.22591379310344828
1172,LaMonte Wade Jr.,664774,12.0,9.0,0.0,50,18,15,1,2,0,9,2,3,4,0,0,0,0,0.8333333333333334,0.36,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,LHP,327,42,0.2619047619047619,0.2857142857142857,0.40476190476190477,0.42857142857142855,0.17791411042944785,0.047619047619047616,100.32000000000001,0.2872638888888889,0.20103174603174603
1173,Lane Thomas,657041,13.0,12.0,1.0,44,24,15,4,0,0,9,2,1,5,1,0,0,0,0.625,0.5454545454545454,0.3076923076923077,0.0,0.08333333333333333,0.07692307692307693,0.08333333333333333,LHP,166,31,0.41935483870967744,0.1935483870967742,0.25806451612903225,0.25806451612903225,0.25316455696202533,0.0,102.18,0.19848806249999998,0.17458695652173914
1174,Lars Nootbaar,663457,33.0,28.0,6.0,125,42,34,6,5,0,22,10,3,5,4,1,0,1,0.8095238095238095,0.336,0.18181818181818182,0.15151515151515152,0.21428571428571427,0.3333333333333333,0.35714285714285715,LHP,473,74,0.3918918918918919,0.25675675675675674,0.24324324324324326,0.3783783783783784,0.20987654320987653,0.0945945945945946,103.9,0.3703732162162162,0.27007608695652174
