,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
241,Harrison Bader,664056,18030,MIN,MLB,30.9,0.206,0.045,0.067,0.055,0.23,0.287,0.316,0.045,0.499,0.064,0.159,0.053,0.775,0.22499999999999998,0.079,0.021,0.21,0.116,0.426,0.5740000000000001,0.0,0.01,0.102,0.559,0.671,0.32899999999999996,0.007,0.002,0.025,0.03,0.064,0.9359999999999999,0.0,0.0,0.02,0.168,0.188,0.812,0.0,0.0,0.019,0.178,0.197,0.8029999999999999,0.22945517241379312,0.7689655172413793,3.9091698923231832,0.0148975791433892,1.0175,0.9544999999999999,0.893,1.1564999999999999,0.9505,1.2229999999999999,0.9475,1.2105000000000001,0.9835,1.032,1.06,0.8245,0.9635,1.1124999999999998,1.0375,0.7575000000000001
242,Christian Vazquez,543877,9774,MIN,MLB,34.7,0.224,0.048,0.037,0.066,0.262,0.294,0.298,0.043,0.392,0.027,0.162,0.08,0.66,0.33999999999999997,0.086,0.016,0.216,0.105,0.423,0.577,0.0,0.005,0.096,0.566,0.667,0.33299999999999996,0.007,0.002,0.031,0.027,0.067,0.933,0.0,0.0,0.013,0.137,0.15,0.85,0.0,0.0,0.022,0.093,0.115,0.885,0.0678,0.7,3.9091698923231832,0.004761904761904762,0.9915,1.026,0.9944999999999999,0.8734999999999999,0.9545,1.196,0.9349999999999999,1.226,0.9955,0.998,1.0430000000000001,0.8839999999999999,0.968,1.0905,1.0465,0.751
243,Mickey Gasper,681508,24759,MIN,MLB,29.5,0.196,0.11,0.083,0.048,0.281,0.248,0.304,0.036,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.050739226519337016,0.7921052631578948,3.9091698923231832,0.035794183445190156,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.953,1.059,1.027,0.821,0.841
244,Brooks Lee,686797,31595,MIN,MLB,24.2,0.154,0.075,0.057,0.06,0.236,0.269,0.346,0.031,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.011,0.077,0.578,0.666,0.33399999999999996,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.005,0.142,0.147,0.853,0.0,0.0,0.0,0.214,0.214,0.786,0.08351681415929203,0.7131578947368421,3.9091698923231832,0.0028929604628736743,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.953,1.059,1.027,0.821,0.841
245,DaShawn Keirsey,680577,24496,MIN,MLB,27.9,0.254,0.067,0.055,0.056,0.286,0.249,0.318,0.036,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.146,0.146,0.854,0.0,0.0,0.0,0.204,0.204,0.796,0.26868888888888887,0.840625,3.9091698923231832,0.015644555694618274,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
246,Royce Lewis,668904,20437,MIN,MLB,25.9,0.228,0.082,0.113,0.059,0.215,0.288,0.273,0.052,0.536,0.0,0.206,0.017,0.758,0.242,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.005,0.089,0.576,0.67,0.32999999999999996,0.01,0.002,0.022,0.025,0.059,0.9410000000000001,0.0,0.0,0.018,0.185,0.203,0.7969999999999999,0.0,0.0,0.002,0.138,0.14,0.86,0.04356237623762376,0.8500000000000001,3.8535645472061657,0.009626955475330927,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
247,Jair Camargo,665856,21730,MIN,MLB,25.8,0.329,0.052,0.09,0.053,0.213,0.278,0.331,0.035,0.55,0.0,0.2,0.0,0.715,0.28500000000000003,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.143,0.143,0.857,0.07086382978723405,0.7625,3.9091698923231832,0.01308698999230177,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
248,Diego Cartaya,682616,sa3008742,MIN,MLB,23.6,0.29,0.092,0.075,0.074,0.223,0.284,0.294,0.05,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.143,0.143,0.857,0.03408571428571429,0.95,3.9091698923231832,0.029826014913007456,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
249,Jose Miranda,669304,20538,MIN,MLB,26.8,0.167,0.042,0.056,0.066,0.232,0.286,0.326,0.033,0.44,0.0,0.23,0.062,0.732,0.268,0.082,0.021,0.226,0.114,0.443,0.5569999999999999,0.0,0.009,0.094,0.567,0.67,0.32999999999999996,0.006,0.002,0.029,0.028,0.065,0.935,0.0,0.0,0.012,0.142,0.154,0.846,0.0,0.0,0.002,0.16,0.162,0.838,0.05502012578616352,0.7625,3.9091698923231832,0.016112789526686808,0.9804999999999999,1.047,1.0010000000000001,0.8714999999999999,0.925,1.25,1.053,0.926,1.0165,0.95,1.0295,0.9255,0.9325,1.1669999999999998,1.1935,0.4205
250,Emmanuel Rodriguez,691181,sa3014693,MIN,MLB,22.1,0.297,0.177,0.116,0.055,0.267,0.194,0.305,0.063,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.15694285714285713,0.7714285714285714,3.9091698923231832,0.01366120218579235,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
251,Austin Martin,668885,27462,MIN,MLB,26.1,0.183,0.078,0.022,0.055,0.327,0.25,0.29,0.055,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.015,0.099,0.508,0.622,0.378,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.039,0.158,0.197,0.8029999999999999,0.0,0.0,0.0,0.18,0.18,0.8200000000000001,0.13408571428571428,0.8166666666666667,3.6342412451361867,0.04602821083890126,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
252,Patrick Winkel,680868,sa3017556,MIN,MLB,25.2,0.288,0.06,0.083,0.055,0.273,0.244,0.298,0.047,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.0198,0.7625,3.9091698923231832,0.005688282138794084,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
253,Mike Ford,645801,15585,MIN,MLB,32.8,0.311,0.083,0.107,0.059,0.223,0.325,0.244,0.042,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.005,0.087,0.55,0.642,0.358,0.005,0.002,0.017,0.032,0.056,0.944,0.0,0.0,0.005,0.169,0.174,0.8260000000000001,0.0,0.0,0.0,0.2,0.2,0.8,0.07032631578947368,0.7,4.1067761806981515,0.014206787687450671,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
254,Yunior Severino,670870,sa3003185,MIN,MLB,25.6,0.295,0.087,0.085,0.065,0.232,0.229,0.351,0.037,0.55,0.0,0.2,0.0,0.715,0.28500000000000003,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.038085714285714285,0.6772727272727272,3.9091698923231832,0.014319809069212411,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.953,1.059,1.027,0.821,0.841
255,Luke Keaschall,807712,sa3022614,MIN,MLB,22.7,0.207,0.106,0.103,0.06,0.291,0.2,0.275,0.071,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.143,0.143,0.857,0.16075238095238095,0.8306818181818182,3.9091698923231832,0.044722719141323794,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
256,Armando Alvarez,669137,19292,MIN,MLB,30.8,0.221,0.073,0.075,0.074,0.246,0.26,0.308,0.037,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.167,0.167,0.833,0.0,0.0,0.0,0.149,0.149,0.851,0.08733246753246754,0.7625,3.9091698923231832,0.003654970760233918,1.016,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.016,0.953,0.995,1.027,0.964,0.841
257,Ryan Fitzgerald,680837,sa3006218,MIN,MLB,30.8,0.255,0.077,0.066,0.067,0.224,0.288,0.294,0.062,0.47,0.0,0.17,0.0,0.69,0.31000000000000005,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.147,0.147,0.853,0.0,0.0,0.0,0.206,0.206,0.794,0.09881234567901234,0.6655172413793103,3.9091698923231832,0.02113113735239279,0.968,1.051,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.091,1.059,0.919,0.821,1.374
