,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
2967,Maxton Martin,807722,68,64,20,237,141,105,14,3,0,51,0,0,0,12,6,1,1,0.7446808510638298,0.5949367088607594,0.20588235294117646,0.04411764705882353,0.3125,0.3382352941176471,0.484375,RHP,,,,,,,,
2968,Maxwell Romero Jr.,686912,33,29,4,138,66,45,9,3,0,21,0,0,0,1,2,0,1,0.6818181818181818,0.4782608695652174,0.2727272727272727,0.09090909090909091,0.13793103448275862,0.21212121212121213,0.3103448275862069,RHP,,,,,,,,
2969,Micah McDowell,678093,32,25,5,125,42,32,10,5,2,15,5,3,1,4,0,0,1,0.7619047619047619,0.336,0.3125,0.15625,0.2,0.375,0.32,RHP,90.0,13.0,0.5384615384615384,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.19607843137254902,103.5
2970,Micah Pries,687588,48,43,5,167,89,64,11,3,1,33,14,3,12,2,0,2,1,0.7191011235955056,0.5329341317365269,0.22916666666666666,0.0625,0.11627906976744186,0.1875,0.27906976744186046,RHP,211.0,41.0,0.3902439024390244,0.1951219512195122,0.2926829268292683,0.2926829268292683,0.31,103.1
2971,Michael Arroyo,703197,78,62,14,283,129,93,20,10,6,42,0,0,0,6,6,0,2,0.7209302325581395,0.4558303886925795,0.2564102564102564,0.1282051282051282,0.22580645161290322,0.38461538461538464,0.41935483870967744,RHP,,,,,,,,
2972,Michael Carico,801686,22,17,3,91,33,26,5,4,1,12,0,0,0,2,1,0,0,0.7878787878787878,0.3626373626373626,0.22727272727272727,0.18181818181818182,0.17647058823529413,0.36363636363636365,0.23529411764705882,RHP,,,,,,,,
2973,Michael Chavis,656308,67,62,20,209,115,83,13,5,0,49,28,5,13,10,4,0,6,0.7217391304347827,0.5502392344497608,0.19402985074626866,0.07462686567164178,0.3225806451612903,0.373134328358209,0.6774193548387096,RHP,304.0,70.0,0.4857142857142857,0.17142857142857143,0.2571428571428571,0.2571428571428571,0.3419354838709677,107.25999999999999
2974,Michael Curialle,683152,45,39,12,161,74,53,11,2,4,28,0,0,0,6,4,1,1,0.7162162162162162,0.45962732919254656,0.24444444444444444,0.044444444444444446,0.3076923076923077,0.4,0.5384615384615384,RHP,,,,,,,,
2975,Michael Helman,680737,48,44,10,195,100,73,11,3,1,33,11,9,5,7,3,0,0,0.73,0.5128205128205128,0.22916666666666666,0.0625,0.22727272727272727,0.2916666666666667,0.29545454545454547,RHP,240.0,41.0,0.3170731707317073,0.2682926829268293,0.17073170731707318,0.3170731707317073,0.2786885245901639,102.9
2976,Michael Siani,672279,17,16,1,78,41,30,6,1,0,10,4,1,3,0,1,0,0,0.7317073170731707,0.5256410256410257,0.35294117647058826,0.058823529411764705,0.0625,0.11764705882352941,0.125,RHP,84.0,11.0,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.3333333333333333,99.3
2977,Michael Snyder,688617,36,29,5,137,55,38,11,5,0,20,0,0,0,3,2,0,0,0.6909090909090909,0.40145985401459855,0.3055555555555556,0.1388888888888889,0.1724137931034483,0.2777777777777778,0.2413793103448276,RHP,,,,,,,,
2978,Michael Stefanic,683021,62,50,16,253,86,79,8,8,4,42,21,13,6,15,1,0,0,0.9186046511627907,0.33992094861660077,0.12903225806451613,0.12903225806451613,0.32,0.45161290322580644,0.34,RHP,334.0,58.0,0.4827586206896552,0.3103448275862069,0.1724137931034483,0.3103448275862069,0.1864406779661017,99.22
2979,Michael Trautwein,681114,43,31,6,193,85,49,16,10,2,15,0,0,0,3,2,0,1,0.5764705882352941,0.44041450777202074,0.37209302325581395,0.23255813953488372,0.1935483870967742,0.4186046511627907,0.3548387096774194,RHP,,,,,,,,
2980,Michael Turconi,681580,28,23,3,125,47,36,8,4,0,16,11,2,1,2,1,0,0,0.7659574468085106,0.376,0.2857142857142857,0.14285714285714285,0.13043478260869565,0.25,0.17391304347826086,RHP,125.0,16.0,0.6875,0.125,0.0625,0.3125,0.2028985507246377,101.0
2981,Michael Turner,694478,29,21,7,143,59,51,8,8,0,13,0,0,0,5,2,0,0,0.864406779661017,0.4125874125874126,0.27586206896551724,0.27586206896551724,0.3333333333333333,0.5172413793103449,0.42857142857142855,RHP,,,,,,,,
2982,Mickey Gasper,681508,15,12,4,64,23,19,3,2,1,9,1,3,4,1,1,0,2,0.8260869565217391,0.359375,0.2,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.9166666666666666,RHP,70.0,9.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.23529411764705882,104.72
2983,Miguel Bleis,694194,42,37,9,165,71,48,15,5,0,22,0,0,0,5,1,0,3,0.676056338028169,0.4303030303030303,0.35714285714285715,0.11904761904761904,0.24324324324324326,0.3333333333333333,0.5135135135135135,RHP,,,,,,,,
2984,Miguel Briceno,691605,52,42,8,222,87,69,10,9,0,33,18,8,5,5,3,0,0,0.7931034482758621,0.3918918918918919,0.19230769230769232,0.17307692307692307,0.19047619047619047,0.3269230769230769,0.2619047619047619,RHP,269.0,42.0,0.5238095238095238,0.2619047619047619,0.16666666666666666,0.3333333333333333,0.2550335570469799,101.36
2985,Miguel Pabon,682196,23,20,4,94,39,27,5,3,0,15,0,0,0,3,1,0,0,0.6923076923076923,0.4148936170212766,0.21739130434782608,0.13043478260869565,0.2,0.30434782608695654,0.25,RHP,,,,,,,,
2986,Miguel Palma,682692,31,29,6,109,57,44,5,2,0,24,0,0,0,3,3,0,0,0.7719298245614035,0.5229357798165137,0.16129032258064516,0.06451612903225806,0.20689655172413793,0.25806451612903225,0.3103448275862069,RHP,,,,,,,,
2987,Miguel Rodriguez,808277,36,29,6,159,49,46,3,6,1,26,0,0,0,4,2,0,0,0.9387755102040817,0.3081761006289308,0.08333333333333333,0.16666666666666666,0.20689655172413793,0.3611111111111111,0.27586206896551724,RHP,,,,,,,,
2988,Miguel Ugueto,692568,48,45,14,145,74,64,1,2,1,45,0,0,0,11,2,0,1,0.8648648648648649,0.5103448275862069,0.020833333333333332,0.041666666666666664,0.3111111111111111,0.3541666666666667,0.4222222222222222,RHP,,,,,,,,
2989,Miguel Villarroel,692446,56,53,12,208,116,78,22,2,0,32,0,0,0,10,1,1,0,0.6724137931034483,0.5576923076923077,0.39285714285714285,0.03571428571428571,0.22641509433962265,0.25,0.2830188679245283,RHP,,,,,,,,
2990,Mike Antico,690443,42,38,11,158,80,60,11,3,0,28,12,10,5,8,3,0,0,0.75,0.5063291139240507,0.2619047619047619,0.07142857142857142,0.2894736842105263,0.3333333333333333,0.3684210526315789,RHP,191.0,37.0,0.35135135135135137,0.2972972972972973,0.21621621621621623,0.40540540540540543,0.31,104.60000000000001
2991,Mike Brosseau,670712,45,38,8,197,89,68,7,5,0,33,12,7,10,5,2,0,1,0.7640449438202247,0.4517766497461929,0.15555555555555556,0.1111111111111111,0.21052631578947367,0.28888888888888886,0.34210526315789475,RHP,279.0,47.0,0.40425531914893614,0.2127659574468085,0.2765957446808511,0.3617021276595745,0.2702702702702703,99.2
2992,Mike Ford,645801,63,53,11,259,111,76,16,10,0,37,15,7,11,6,3,0,2,0.6846846846846847,0.42857142857142855,0.25396825396825395,0.15873015873015872,0.20754716981132076,0.3333333333333333,0.37735849056603776,RHP,368.0,49.0,0.40816326530612246,0.20408163265306123,0.2653061224489796,0.32653061224489793,0.28502415458937197,106.6
2993,Mike Jarvis,690448,29,28,5,106,57,39,8,1,0,20,0,0,3,4,1,0,0,0.6842105263157895,0.5377358490566038,0.27586206896551724,0.034482758620689655,0.17857142857142858,0.20689655172413793,0.21428571428571427,RHP,12.0,4.0,0.0,0.0,0.75,0.25,0.4,90.47
2994,Mike Sirota,701527,55,48,19,220,86,63,12,6,1,36,0,0,0,9,7,1,2,0.7325581395348837,0.39090909090909093,0.21818181818181817,0.10909090909090909,0.3958333333333333,0.4727272727272727,0.7083333333333334,RHP,,,,,,,,
2995,Mike Tauchman,643565,8,6,1,46,17,13,2,2,0,4,1,1,2,0,0,0,1,0.7647058823529411,0.3695652173913043,0.25,0.25,0.16666666666666666,0.375,0.6666666666666666,RHP,61.0,5.0,0.2,0.2,0.6,0.4,0.0967741935483871,102.54
2996,Mikey Kane,815097,32,25,4,116,47,38,6,7,0,19,0,0,0,3,0,0,1,0.8085106382978723,0.4051724137931034,0.1875,0.21875,0.16,0.34375,0.28,RHP,,,,,,,,
2997,Mikey Romero,702540,52,44,11,224,115,79,17,6,1,28,0,0,0,7,1,1,2,0.6869565217391305,0.5133928571428571,0.3269230769230769,0.11538461538461539,0.25,0.34615384615384615,0.45454545454545453,RHP,,,,,,,,
2998,Milan Tolentino,675455,71,62,15,311,140,93,28,8,1,34,13,9,12,9,3,1,2,0.6642857142857143,0.45016077170418006,0.39436619718309857,0.11267605633802817,0.24193548387096775,0.3380281690140845,0.41935483870967744,RHP,380.0,42.0,0.40476190476190477,0.2619047619047619,0.30952380952380953,0.42857142857142855,0.3316582914572864,102.8
2999,Milkar Perez,683529,50,41,11,222,65,52,10,8,1,31,0,0,0,6,3,1,1,0.8,0.2927927927927928,0.2,0.16,0.2682926829268293,0.4,0.4634146341463415,RHP,,,,,,,,
3000,Milo Rushford,806299,25,23,6,95,48,30,8,1,0,16,0,0,0,6,0,0,0,0.625,0.5052631578947369,0.32,0.04,0.2608695652173913,0.28,0.2608695652173913,RHP,,,,,,,,
3001,Misael Urbina,682618,28,24,4,106,45,32,8,3,0,17,0,0,0,2,1,0,1,0.7111111111111111,0.42452830188679247,0.2857142857142857,0.10714285714285714,0.16666666666666666,0.25,0.3333333333333333,RHP,,,,,,,,
3002,Mitch Jebb,694991,73,59,17,250,98,84,9,12,0,52,0,0,0,16,1,0,0,0.8571428571428571,0.392,0.1232876712328767,0.1643835616438356,0.288135593220339,0.3972602739726027,0.3050847457627119,RHP,,,,,,,,
3003,Mitchell Daly,699475,46,42,9,194,77,55,16,2,0,28,8,5,4,5,3,0,1,0.7142857142857143,0.39690721649484534,0.34782608695652173,0.043478260869565216,0.21428571428571427,0.2391304347826087,0.35714285714285715,RHP,144.0,26.0,0.38461538461538464,0.2692307692307692,0.2692307692307692,0.5769230769230769,0.21311475409836064,100.51
3004,Modeifi Marte,800029,27,26,7,105,52,38,4,1,0,22,0,0,0,6,1,0,0,0.7307692307692307,0.49523809523809526,0.14814814814814814,0.037037037037037035,0.2692307692307692,0.2962962962962963,0.3076923076923077,RHP,,,,,,,,
3005,Moises Ballesteros,694208,77,66,26,287,135,110,10,9,1,57,24,17,12,18,5,1,2,0.8148148148148148,0.47038327526132406,0.12987012987012986,0.11688311688311688,0.3939393939393939,0.4675324675324675,0.5909090909090909,RHP,351.0,76.0,0.40789473684210525,0.32894736842105265,0.19736842105263158,0.3815789473684211,0.30303030303030304,107.20000000000002
3006,Moises Gallardo,691865,42,41,8,158,89,52,14,1,0,27,0,0,0,7,0,0,1,0.5842696629213483,0.5632911392405063,0.3333333333333333,0.023809523809523808,0.1951219512195122,0.21428571428571427,0.2682926829268293,RHP,,,,,,,,
3007,Moises Gomez,664332,64,55,16,290,134,85,18,6,2,38,0,0,0,11,2,1,2,0.6343283582089553,0.46206896551724136,0.28125,0.09375,0.2909090909090909,0.375,0.4727272727272727,RHP,,,,,,,,
3008,Murphy Stehly,693822,18,14,2,68,27,22,4,2,2,10,0,0,0,1,1,0,0,0.8148148148148148,0.39705882352941174,0.2222222222222222,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.21428571428571427,RHP,,,,,,,,
3009,Myles Emmerson,689880,34,29,10,141,55,42,9,4,1,20,0,0,0,5,3,0,2,0.7636363636363637,0.3900709219858156,0.2647058823529412,0.11764705882352941,0.3448275862068966,0.4411764705882353,0.6551724137931034,RHP,,,,,,,,
3010,Myles Naylor,802504,61,46,4,280,96,40,27,13,2,19,0,0,0,3,0,0,1,0.4166666666666667,0.34285714285714286,0.4426229508196721,0.21311475409836064,0.08695652173913043,0.3114754098360656,0.15217391304347827,RHP,,,,,,,,
3011,Myles Smith,701737,34,29,4,149,56,43,10,3,0,21,0,0,0,3,1,0,0,0.7678571428571429,0.37583892617449666,0.29411764705882354,0.08823529411764706,0.13793103448275862,0.20588235294117646,0.1724137931034483,RHP,,,,,,,,
3012,Narciso Polanco,800440,66,53,6,252,107,84,12,12,3,41,0,0,0,5,1,0,0,0.7850467289719626,0.4246031746031746,0.18181818181818182,0.18181818181818182,0.11320754716981132,0.3181818181818182,0.1320754716981132,RHP,,,,,,,,
3013,Nasim Nunez,683083,24,21,3,105,46,30,8,3,0,13,9,2,2,3,0,0,0,0.6521739130434783,0.4380952380952381,0.3333333333333333,0.125,0.14285714285714285,0.25,0.14285714285714285,RHP,136.0,18.0,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.2631578947368421,105.64
3014,Natanael Yuten,800256,37,29,5,152,81,56,11,6,2,18,0,0,0,5,0,0,0,0.691358024691358,0.5328947368421053,0.2972972972972973,0.16216216216216217,0.1724137931034483,0.35135135135135137,0.1724137931034483,RHP,,,,,,,,
