,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
51,Steven Matz,571927,13361,BOS,MLB,34.2,0.2,0.056,0.073,0.062,0.244,0.246,0.343,0.042,3.905,0.01,0.9696666666666667,1.059,1.0096666666666667,0.945,1.1119999999999999,0.7063333333333333,1.0543333333333333,0.845,1.0176666666666665,0.9776666666666667,0.9383333333333334,1.151,1.0493333333333332,0.8546666666666667,0.8293333333333334,1.5006666666666668
52,Isaiah Campbell,663462,25551,BOS,MLB,28.0,0.217,0.08,0.082,0.061,0.241,0.237,0.347,0.042,3.905,0.009,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
53,Jovani Moran,663558,20422,BOS,MLB,28.3,0.277,0.122,0.067,0.058,0.238,0.262,0.353,0.046,3.905,0.008,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
54,Jordan Hicks,663855,19618,BOS,MLB,29.0,0.2,0.094,0.075,0.058,0.241,0.187,0.412,0.044,3.905,0.019,1.042,0.9343333333333333,0.8743333333333333,1.1663333333333332,0.9706666666666667,1.1076666666666668,1.0156666666666667,1.0506666666666666,0.9313333333333333,1.0913333333333333,1.0333333333333332,0.9283333333333333,1.0026666666666666,1.0253333333333332,1.025,0.7933333333333333
55,Richard Fitts,690916,30160,BOS,MLB,25.7,0.177,0.077,0.085,0.065,0.25,0.237,0.305,0.041,3.905,0.008,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
56,Kyle Harrison,690986,27758,BOS,MLB,24.0,0.229,0.079,0.091,0.066,0.246,0.276,0.265,0.043,3.905,0.019,0.9863333333333333,1.006,1.0206666666666666,0.9063333333333333,1.0536666666666665,0.892,1.131,0.6006666666666667,1.004,1.021,0.953,1.1046666666666667,1.035,0.9003333333333333,0.8039999999999999,1.5810000000000002
57,Cooper Criswell,681867,24975,BOS,MLB,29.1,0.167,0.075,0.072,0.064,0.246,0.231,0.347,0.042,3.905,0.021,1.0273333333333332,0.957,0.8713333333333333,1.1613333333333333,1.0593333333333332,0.992,0.9676666666666666,1.109,0.9926666666666667,1.0063333333333333,1.007,0.965,0.995,1.036,0.9806666666666667,0.8586666666666667
58,Chris Murphy,669684,26214,BOS,MLB,27.2,0.227,0.086,0.078,0.048,0.242,0.264,0.33,0.048,3.905,0.016,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
59,Luis Perales,691384,sa3014677,BOS,MLB,22.4,0.297,0.11,0.081,0.064,0.243,0.258,0.31,0.043,3.905,0.01,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
60,Brennan Bernardino,657514,16835,BOS,MLB,33.6,0.21,0.092,0.076,0.064,0.242,0.221,0.345,0.047,3.905,0.024,0.9456666666666667,1.0736666666666668,1.062,0.9016666666666666,1.0933333333333333,0.8363333333333333,1.0033333333333334,0.9403333333333334,1.0443333333333333,0.9476666666666667,0.945,1.0893333333333335,1.0216666666666665,0.9476666666666667,0.9183333333333333,1.236
61,Zack Kelly,677161,20349,BOS,MLB,30.5,0.245,0.084,0.083,0.059,0.234,0.245,0.35,0.047,3.905,0.018,1.043,0.938,0.8753333333333333,1.1563333333333332,1.039,1.0176666666666667,1.0936666666666666,0.9583333333333334,0.9993333333333333,0.9983333333333333,1.0113333333333332,0.96,0.9563333333333334,1.0813333333333333,0.9713333333333333,0.8706666666666666
62,Shane Smith,681343,31687,CWS,MLB,25.4,0.231,0.104,0.077,0.068,0.244,0.258,0.309,0.043,4.07,0.025,1.01,0.978,0.9163333333333333,1.103,1.022,1.04,0.9763333333333333,1.0876666666666668,0.9413333333333334,1.0563333333333333,1.0739999999999998,0.9003333333333333,0.9563333333333334,1.0723333333333334,1.0023333333333333,0.843
63,Aaron Civale,650644,19479,CWS,MLB,30.2,0.198,0.081,0.079,0.068,0.242,0.281,0.283,0.044,3.905,0.01,0.9543333333333333,1.0366666666666666,0.904,1.1173333333333333,0.9903333333333334,1.0753333333333335,1.027,1.037,0.9803333333333333,1.021,1.0293333333333332,0.9386666666666666,0.9993333333333333,1.0306666666666666,0.886,0.9713333333333334
64,Sean Burke,680732,29878,CWS,MLB,25.7,0.221,0.094,0.091,0.067,0.243,0.299,0.237,0.046,3.905,0.01,0.9886666666666666,0.9983333333333333,0.8160000000000001,1.1976666666666667,1.0656666666666668,0.9916666666666667,1.0599999999999998,1.0026666666666668,0.982,1.0183333333333333,1.0016666666666665,0.9703333333333333,0.9703333333333334,1.0623333333333334,0.9796666666666666,0.8623333333333333
