,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
191,Jackson Holliday,BAL,702616.0,7.12,453.0,600,543,72,19,62,11,0.223,0.294,0.384,177,52,121,972,293.5,214.91333333333333,146.0,147.5
192,Nolan Jones,COL,666134.0,8.61,492.0,600,526,67,18,68,13,0.248,0.337,0.417,176,69,130,1061,145.0,257.96,176.0,-31.0
193,Tyler Stephenson,CIN,663886.0,8.58,474.0,600,534,70,20,79,2,0.254,0.333,0.427,144,55,135,1033,187.5,141.56666666666666,100.0,87.5
194,Nolan Schanuel,LAA,694384.0,5.69,554.0,600,518,64,11,67,9,0.258,0.358,0.378,100,71,134,990,261.0,330.9266666666667,226.0,35.0
195,Austin Wells,NYY,669224.0,8.7,464.0,600,532,71,23,73,5,0.235,0.319,0.428,125,60,125,1034,185.0,191.76,136.0,49.0
196,Michael Conforto,LAD,624424.0,9.78,471.0,600,528,73,22,76,3,0.243,0.33,0.434,141,58,128,1042,174.0,296.32,209.0,-35.0
197,Jacob Young,WSH,696285.0,6.92,501.0,600,547,65,7,56,31,0.24,0.305,0.328,117,39,130,988,265.5,308.56,216.0,49.5
198,Luke Raley,SEA,670042.0,9.29,458.0,600,531,69,23,75,11,0.216,0.302,0.404,176,39,115,1023,204.5,306.56666666666666,214.0,-9.5
199,Spencer Horwitz,PIT,687462.0,5.13,555.0,600,524,62,18,57,5,0.262,0.351,0.424,117,63,137,1005,232.0,318.38,219.0,13.0
200,Giancarlo Stanton,NYY,519317.0,13.61,390.0,600,543,80,33,93,1,0.222,0.293,0.457,187,52,120,1097,89.5,320.22,221.0,-131.5
201,Trevor Larnach,MIN,663616.0,9.46,471.0,600,529,70,20,78,5,0.24,0.325,0.416,157,62,127,1031,191.5,349.3533333333333,233.0,-41.5
202,Gabriel Moreno,ARI,672515.0,8.24,455.0,600,532,75,15,72,6,0.275,0.354,0.431,105,60,146,1063,140.0,193.40666666666667,137.0,3.0
203,Evan Carter,TEX,694497.0,8.63,461.0,600,497,66,18,66,18,0.229,0.358,0.396,150,89,114,1073,119.0,258.58,178.0,-59.0
204,Isiah Kiner-Falefa,PIT,643396.0,4.21,493.0,600,559,66,8,58,12,0.248,0.297,0.35,104,30,138,916,364.5,348.92,231.0,133.5
205,Joey Ortiz,MIL,687401.0,5.24,558.0,600,531,66,13,65,15,0.235,0.32,0.373,124,61,124,989,264.0,300.55333333333334,212.0,52.0
206,Ceddanne Rafaela,BOS,678882.0,9.79,420.0,600,570,71,18,71,23,0.248,0.284,0.404,158,22,141,1061,145.0,189.74666666666667,133.0,12.0
207,Keibert Ruiz,WSH,660688.0,6.38,479.0,600,561,65,17,68,4,0.26,0.305,0.403,71,28,145,967,300.5,211.06666666666663,143.0,157.5
208,Max Muncy,LAD,571970.0,8.16,524.0,600,502,70,24,75,2,0.216,0.34,0.418,160,85,108,1038,180.5,568.0,464.0,-283.5
217,Ha-Seong Kim,TB,673490.0,8.27,436.0,600,524,68,15,64,27,0.235,0.329,0.369,111,70,122,1066,130.5,295.030303030303,206.5,-76.0
221,Ivan Herrera,STL,671056.0,10.37,367.0,600,532,76,21,73,10,0.287,0.364,0.468,129,58,153,1136,54.0,237.33333333333331,163.0,-109.0
222,Christian Encarnacion-Strand,CIN,687952.0,10.93,382.0,600,556,78,26,78,3,0.255,0.306,0.456,163,32,141,1071,120.5,241.46666666666667,164.0,-43.5
223,Patrick Bailey,SF,672275.0,6.47,439.0,600,548,72,15,64,6,0.246,0.309,0.388,146,49,135,974,289.5,308.82666666666665,217.0,72.5
224,Sean Murphy,ATL,669221.0,7.6,410.0,600,523,68,23,70,2,0.238,0.333,0.427,137,60,124,1014,218.5,223.06666666666663,157.0,61.5
225,Ryan O'Hearn,BAL,656811.0,9.15,395.0,600,543,72,19,78,5,0.261,0.327,0.426,104,50,142,1064,138.0,349.24666666666667,232.0,-94.0
226,Ryan Jeffers,MIN,680777.0,7.41,406.0,600,537,69,20,70,4,0.24,0.316,0.416,135,48,128,988,265.5,231.28,161.0,104.5
227,Bo Naylor,CLE,666310.0,7.6,396.0,600,537,69,21,68,8,0.218,0.295,0.385,166,57,118,985,271.5,299.93333333333334,211.0,60.5
228,Roman Anthony,BOS,701350.0,10.1,366.0,600,526,73,19,72,15,0.233,0.326,0.413,159,68,122,1052,159.5,273.6533333333333,185.0,-25.5
229,Alejandro Kirk,TOR,672386.0,5.86,415.0,600,534,66,15,67,2,0.268,0.345,0.411,78,57,143,990,261.0,275.68666666666667,192.0,69.0
230,Jose Caballero,TB,676609.0,7.9,297.0,600,535,64,12,60,39,0.212,0.296,0.333,153,44,113,1045,168.5,293.68,204.0,-35.5
231,Heston Kjerstad,BAL,677008.0,9.28,377.0,600,528,73,22,71,4,0.24,0.328,0.422,162,54,127,1020,212.5,328.00666666666666,223.0,-10.5
232,Matt Vierling,DET,663837.0,5.19,481.0,600,546,66,16,68,6,0.244,0.308,0.386,127,46,133,961,310.5,314.47333333333336,218.0,92.5
233,Jonathan Aranda,TB,666018.0,7.86,382.0,600,534,67,26,69,2,0.228,0.309,0.428,150,56,120,991,256.0,323.7,222.0,34.0
234,Connor Wong,BOS,657136.0,6.09,385.0,600,551,67,14,65,9,0.241,0.3,0.379,160,35,134,967,300.5,217.47333333333333,147.0,153.5
235,Danny Jansen,TB,643376.0,7.28,366.0,600,524,67,22,72,2,0.222,0.317,0.406,119,63,116,981,276.5,333.53333333333336,227.0,49.5
