,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
471,Johan Rojas,PHI,679032.0,9.2,296.0,600,565,68,10,64,34,0.235,0.277,0.34,125,24,133,1025,198.5,550.952380952381,426.0,-227.5
472,Jon Berti,CHC,542932.0,4.25,182.0,600,547,65,9,62,15,0.254,0.317,0.364,118,46,138,962,309.0,536.7142857142857,389.0,-80.0
473,Jonah Bride,MIA,681146.0,3.48,408.0,600,525,57,11,64,4,0.239,0.332,0.356,119,61,125,913,370.0,433.7866666666667,283.0,87.0
474,Jonny DeLuca,TB,676356.0,7.86,453.0,600,545,67,13,66,19,0.229,0.297,0.359,125,42,124,987,267.5,367.82666666666665,252.0,15.5
475,Jordan Beck,COL,687597.0,8.5,377.0,600,553,68,17,66,16,0.236,0.293,0.386,181,44,130,1009,227.5,484.9503546099291,322.0,-94.5
476,Jordan Lawlar,ARI,691783.0,8.47,234.0,600,535,69,17,66,23,0.23,0.312,0.381,146,51,123,1059,148.5,328.82666666666665,224.0,-75.5
477,Jorge Polanco,SEA,593871.0,7.28,482.0,600,534,69,22,68,5,0.224,0.306,0.398,164,59,119,980,280.0,442.4121621621622,288.0,-8.0
478,Josh Bell,WSH,605137.0,6.67,560.0,600,538,66,20,70,0,0.242,0.316,0.407,127,55,130,973,291.5,355.7333333333333,240.0,51.5
479,Brandon Drury,CWS,592273.0,4.81,266.0,600,552,63,18,63,2,0.23,0.291,0.373,146,40,126,925,351.5,540.5,399.0,-47.5
480,Justin Turner,CHC,457759.0,6.38,337.0,600,528,69,16,67,2,0.256,0.343,0.4,112,58,135,990,261.0,508.3888888888889,343.5,-82.5
484,Blake Perkins,MIL,663368.0,6.43,247.0,600,534,63,12,58,22,0.219,0.304,0.336,150,63,116,969,298.0,515.4661016949152,359.0,-61.0
485,Juan Brito,CLE,682877.0,6.42,289.0,600,531,66,18,66,8,0.236,0.321,0.393,114,60,124,996,246.0,535.0246913580247,383.0,-137.0
486,Josh Smith,TEX,669701.0,4.13,377.0,600,523,65,14,62,8,0.239,0.333,0.375,127,55,125,967,300.5,370.9333333333333,253.0,47.5
487,Josh Rojas,CWS,668942.0,4.33,378.0,600,542,63,14,58,15,0.244,0.314,0.376,138,53,131,973,291.5,533.6483516483516,382.0,-90.5
488,Jose Tena,WSH,677588.0,6.9,341.0,600,547,61,19,68,17,0.268,0.328,0.427,142,45,146,1065,134.5,415.9328859060402,274.0,-139.5
489,Jose Trevino,CIN,624431.0,5.31,242.0,600,560,66,14,66,3,0.242,0.292,0.376,101,37,136,915,367.0,577.6153846153846,482.0,-115.0
490,Adam Duvall,,594807.0,,206.0,600,550,61,29,64,2,0.253,0.311,0.491,189,40,139,1048,166.0,,,
491,Jose Siri,NYM,642350.0,12.75,387.0,600,551,72,29,75,21,0.213,0.273,0.421,213,38,117,1088,97.0,480.8211920529801,316.0,-219.0
492,Jose Miranda,MIN,669304.0,6.36,360.0,600,555,73,16,71,4,0.254,0.308,0.405,100,35,141,991,256.0,364.1533333333333,249.0,7.0
493,Jose Iglesias,,578428.0,5.29,267.0,600,561,69,8,67,5,0.279,0.323,0.385,94,26,157,954,317.5,556.2631578947369,438.0,-120.5
494,Hunter Goodman,COL,696100.0,9.14,309.0,600,559,73,27,73,2,0.222,0.271,0.434,166,29,124,1005,232.0,320.0,220.0,12.0
495,Joey Bart,PIT,663698.0,5.57,368.0,600,541,63,17,68,3,0.231,0.304,0.377,176,45,125,926,349.5,264.7266666666667,180.0,169.5
496,Jonah Heim,TEX,641680.0,5.25,366.0,600,555,62,18,63,3,0.245,0.298,0.401,114,39,136,931,344.5,292.81333333333333,203.0,141.5
497,Kristian Campbell,BOS,692225.0,5.8,272.0,600,525,63,13,63,17,0.233,0.33,0.361,138,61,121,994,251.0,291.5,201.0,50.0
