BatterName,batter,PA_flag,AB_flag,Is_Hit,PitchesThrown,SwungOn,ContactMade_Foul,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,5,0,0.4,0.6,0.8,0.242424242,83.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,0,0,0,0,91.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,52,4,0.5,0.5,0,0.25,0.206896552,90.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,0.75,0,0.25,0,0.285714286,88.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,0.4,0.2,0.2,0.4,0.428571429,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1,0,0,0,0.285714286,92.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,0.6,0,0.4,0,0.294117647,90.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,56,10,0.7,0.2,0.1,0.1,0.3,96.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,0.25,0,0.5,0.25,0.090909091,90.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0.666666667,0,0.333333333,0.333333333,0,83.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,0.333333333,0.333333333,0.333333333,0.333333333,0.2,91.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,0.25,0.25,0.25,0.25,0,87.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,0.333333333,92.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,0.5,0.25,0.25,0.25,0,92.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,0.4,0,0.6,0.2,0,90.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12,0.416666667,0.166666667,0.333333333,0.333333333,0.260869565,94.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,0.545454545,0.181818182,0.181818182,0.181818182,0.173913043,93.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,0,0,1,0.333333333,0.136363636,89.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,0.555555556,0.111111111,0.333333333,0.333333333,0.266666667,91.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,0.4,0.2,0.4,0.2,0.555555556,91.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,0.166666667,0.166666667,0.166666667,0.166666667,0.25,83.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,0,0,0,0,88.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,0.428571429,0,0.428571429,0.142857143,0.217391304,89.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8,0.625,0.125,0.25,0.125,0.275862069,86.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,0.8,0.2,0,0.2,0.315789474,72.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,47,8,0.125,0.25,0.625,0.25,0.47826087,98.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,1,0,0,0,0.318181818,87.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,0.5,0,0.5,0,0.2,92.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,0.25,0.25,0.5,0.75,0.263157895,88.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,78,9,0.444444444,0.222222222,0.333333333,0.333333333,0.29787234,93.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,1,0,1,0,84.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,0.4,0.2,0.2,0.4,0.411764706,93.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,9,0.444444444,0.333333333,0.111111111,0.333333333,0.076923077,87.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,0.5,0.2,0.3,0.4,0.35483871,90.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,0.666666667,0.333333333,0,0.333333333,0.428571429,93.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,6,0.5,0,0.5,0.333333333,0.233333333,89.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,0.5,0.5,0,0.5,0.619047619,91.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,5,0.8,0,0.2,0.2,0.217391304,92.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,6,0.5,0.166666667,0.333333333,0.166666667,0.416666667,88.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,0.8,0,0.2,0,0,94.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,9,0.444444444,0.444444444,0,0.555555556,0.473684211,93.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,0.5,0,0.5,0,0,91.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,0.4,0.4,0.2,0.4,0.181818182,84.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,0.5,0.166666667,0.333333333,0.5,0.263157895,94.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,73,11,0.545454545,0.181818182,0.272727273,0.272727273,0.333333333,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,0.25,0.25,0.25,0.25,0,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,74,9,0.444444444,0.333333333,0.222222222,0.555555556,0.166666667,90.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,0.333333333,0.333333333,0,0.333333333,0.181818182,90.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,48,11,0.727272727,0.181818182,0,0.090909091,0.269230769,95.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,0.125,0.25,0.625,0.375,0.142857143,93.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,0.4,0.4,0.2,0.5,0.24137931,92.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,0.857142857,0,0.142857143,0.142857143,0.407407407,90.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,0,0.666666667,0.166666667,0.666666667,0.12,91.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,0.333333333,0.333333333,0.333333333,0.333333333,0.2,89.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,71,11,0.272727273,0.454545455,0.272727273,0.454545455,0.194444444,89.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,0.75,0,0,0,0.142857143,83.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,0,0,0.666666667,0,0.25,90.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,71,12,0.416666667,0.166666667,0.333333333,0.333333333,0.297297297,91.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,0.5,0.5,0,0.5,0.0625,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8,0.375,0.125,0.375,0.25,0.166666667,89.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,0.6,0.2,0,0.4,0.210526316,91.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6,0,0.5,0.333333333,0.666666667,0.35483871,85.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,0.5,0,0.25,0,0.5,92.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,0,0,0.5,0,0.166666667,85.74
