,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
677,Jared Serna,691858,sa3015579,MIA,MLB,22.9,0.212,0.059,0.052,0.043,0.285,0.193,0.342,0.084,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.164,0.164,0.836,0.0,0.0,0.0,0.142,0.142,0.858,0.2068646766169154,0.72,3.9092224069473023,0.016253207869974338,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
678,Jose Altuve,514888,5417,HOU,MLB,35.0,0.187,0.072,0.068,0.05,0.252,0.239,0.319,0.071,0.52,0.012,0.148,0.0,0.0,0.0,0.091,0.019,0.22,0.115,0.445,0.5549999999999999,0.0,0.005,0.107,0.55,0.662,0.33799999999999997,0.014,0.002,0.031,0.037,0.084,0.916,0.0,0.0,0.02,0.177,0.197,0.8029999999999999,0.0,0.0,0.01,0.256,0.266,0.734,0.13778561151079136,0.8057692307692308,3.9092224069473023,0.011213456147376852,1.022,0.9435,0.9525,0.979,0.969,1.158,0.9595,1.1644999999999999,0.996,0.996,1.0385,0.8955,0.976,1.069,0.992,0.8945
679,Yordan Alvarez,670541,19556,HOU,MLB,27.9,0.164,0.099,0.152,0.072,0.23,0.293,0.22,0.033,0.456,0.011,0.221,0.051,0.74,0.26,0.076,0.018,0.211,0.127,0.432,0.5680000000000001,0.0,0.005,0.099,0.556,0.66,0.33999999999999997,0.009,0.002,0.025,0.031,0.067,0.933,0.0,0.0,0.011,0.155,0.166,0.834,0.0,0.0,0.002,0.265,0.267,0.733,0.04656579925650557,0.95,3.9092224069473023,0.018101545253863136,0.966,1.0594999999999999,1.0865,0.9505,1.053,0.871,1.0415,0.915,1.0065,0.994,0.919,1.1425,1.0670000000000002,0.8885000000000001,0.887,1.2315
680,Isaac Paredes,670623,20036,HOU,MLB,26.2,0.171,0.111,0.047,0.069,0.247,0.338,0.251,0.048,0.701,0.034,0.118,0.01,0.864,0.136,0.097,0.016,0.223,0.109,0.445,0.5549999999999999,0.0,0.005,0.102,0.541,0.648,0.352,0.014,0.002,0.021,0.027,0.064,0.9359999999999999,0.0,0.0,0.019,0.131,0.15,0.85,0.0,0.0,0.002,0.089,0.091,0.909,0.0304312292358804,0.575,3.9092224069473023,0.026987242394504417,1.034,0.9039999999999999,0.948,0.9904999999999999,1.027,1.001,1.028,0.978,0.974,1.0579999999999998,1.008,0.9769999999999999,1.0030000000000001,0.9964999999999999,0.965,0.968
681,Jeremy Pena,665161,21636,HOU,MLB,27.6,0.178,0.049,0.055,0.057,0.249,0.216,0.38,0.043,0.469,0.038,0.162,0.006,0.675,0.32499999999999996,0.079,0.026,0.224,0.115,0.444,0.556,0.0,0.008,0.096,0.551,0.655,0.345,0.006,0.002,0.028,0.022,0.058,0.942,0.0,0.0,0.012,0.176,0.188,0.812,0.0,0.0,0.015,0.224,0.239,0.761,0.1516007662835249,0.75,3.9092224069473023,0.017200191113234592,1.0505,0.862,0.9675,0.937,1.009,1.051,0.9809999999999999,1.1025,1.0,0.9874999999999999,1.0065,0.98,0.994,1.021,0.9914999999999999,0.8965
682,Christian Walker,572233,13419,HOU,MLB,34.1,0.246,0.09,0.124,0.062,0.221,0.279,0.273,0.041,0.54,0.003,0.164,0.031,0.738,0.262,0.074,0.017,0.216,0.118,0.425,0.575,0.0,0.006,0.096,0.538,0.64,0.36,0.009,0.003,0.025,0.029,0.066,0.9339999999999999,0.0,0.001,0.018,0.159,0.178,0.8220000000000001,0.0,0.0,0.002,0.121,0.123,0.877,0.04074240837696335,0.8250000000000001,3.9092224069473023,0.015217391304347827,1.014,0.9655,0.913,1.091,1.012,1.0434999999999999,0.9744999999999999,1.1295000000000002,0.9835,1.0314999999999999,1.0145,0.957,0.9984999999999999,1.009,1.03,0.7825
683,Yainer Diaz,673237,23003,HOU,MLB,26.6,0.178,0.035,0.088,0.075,0.263,0.197,0.349,0.027,0.431,0.014,0.262,0.024,0.731,0.269,0.078,0.02,0.218,0.122,0.438,0.562,0.0,0.007,0.092,0.564,0.663,0.33699999999999997,0.005,0.008,0.022,0.028,0.063,0.937,0.0,0.0,0.007,0.136,0.143,0.857,0.0,0.0,0.002,0.171,0.173,0.827,0.03482347417840376,0.7,3.9092224069473023,0.007466401194624191,0.9964999999999999,1.013,0.913,1.0885,0.9934999999999999,1.095,0.9924999999999999,1.078,0.985,1.0265,1.024,0.9305,0.976,1.072,1.125,0.516
684,Jake Meyers,676694,20308,HOU,MLB,28.9,0.236,0.07,0.064,0.073,0.232,0.255,0.328,0.048,0.41,0.044,0.199,0.0,0.652,0.348,0.079,0.021,0.21,0.118,0.428,0.5720000000000001,0.0,0.012,0.098,0.549,0.659,0.34099999999999997,0.008,0.005,0.035,0.039,0.087,0.913,0.0,0.0,0.022,0.136,0.158,0.842,0.0,0.0,0.002,0.246,0.248,0.752,0.17007624309392264,0.7681818181818182,3.9092224069473023,0.01866977829638273,1.0075,0.984,0.9565,0.9695,0.978,1.1305,1.0074999999999998,1.0345,0.9735,1.0554999999999999,1.0230000000000001,0.937,0.9784999999999999,1.0615,1.1059999999999999,0.5994999999999999
685,Cam Smith,701358,35108,HOU,MLB,22.2,0.237,0.078,0.041,0.042,0.296,0.18,0.363,0.079,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.077,0.019,0.219,0.116,0.431,0.569,0.0,0.008,0.099,0.552,0.659,0.34099999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.184,0.184,0.8160000000000001,0.0,0.0,0.0,0.201,0.201,0.7989999999999999,0.05649724770642202,0.7625,3.8815789473684212,0.011652787704513848,1.016,0.964,0.893,0.991,1.023,1.089,1.021,1.054,0.981,1.023,1.016,0.953,0.994,1.026,0.964,0.841
686,Mauricio Dubon,643289,16530,HOU,MLB,30.8,0.13,0.04,0.033,0.046,0.255,0.275,0.342,0.05,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.074,0.024,0.231,0.106,0.435,0.565,0.0,0.01,0.093,0.558,0.661,0.33899999999999997,0.006,0.002,0.03,0.026,0.064,0.9359999999999999,0.0,0.0,0.025,0.151,0.176,0.8240000000000001,0.0,0.0,0.002,0.144,0.146,0.854,0.09007027027027027,0.6891304347826087,3.9092224069473023,0.008576329331046312,1.0215,0.9495,0.908,1.0895,0.9814999999999999,1.1175,0.9889999999999999,1.0795,1.0135,0.955,1.004,0.9864999999999999,0.9764999999999999,1.0630000000000002,1.0415,0.7755
