,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Joey Gallo,CWS,14128,608336.0,31,194.0,167.0,92.0,76.0,0.3915999999999999,25.0,0.12734546332046334,0.0,2.0,0.314,0.141,0.07,0.172,0.217,0.358,0.042,29.0,15.0,6.0,0.0,8.0,61.0,0.172,0.284,0.358,0.642,18.0,19.0,2.1,1.5,1.0,,1.0,1.0,43.0
0,Johan Rojas,PHI,24336,679032.0,24,296.0,279.0,217.0,62.0,0.209368,12.0,0.04173714285714286,0.0,4.0,0.3,0.035,0.041,0.223,0.414,0.195,0.091,65.0,47.0,12.0,1.0,5.0,107.0,0.234,0.276,0.339,0.615,34.0,32.0,18.5,15.6,3.0,OF,1.0,2.33,66.0
0,Jon Berti,CHC,12037,542932.0,35,182.0,166.0,130.0,36.0,0.199072,14.0,0.07827919104991393,0.0,1.0,0.322,0.048,0.044,0.265,0.384,0.196,0.063,42.0,31.0,7.0,1.0,4.0,63.0,0.253,0.316,0.366,0.683,20.0,19.0,4.9,3.5,1.0,,1.0,1.0,40.0
0,Jonah Bride,MIA,24703,681146.0,29,408.0,357.0,277.0,81.0,0.1984,42.0,0.10406269841269841,1.0,8.0,0.308,0.046,0.07,0.237,0.349,0.238,0.06,85.0,60.0,17.0,1.0,8.0,128.0,0.239,0.332,0.355,0.686,39.0,44.0,3.2,2.2,1.0,1B,1.0,1.58,91.0
0,Jonny DeLuca,TB,26365,676356.0,26,448.0,407.0,314.0,94.0,0.2101,31.0,0.06987560898560899,1.0,9.0,0.298,0.048,0.049,0.25,0.3,0.299,0.055,94.0,63.0,19.0,2.0,10.0,159.0,0.23,0.298,0.36,0.658,51.0,50.0,22.0,17.3,5.0,OF,1.0,4.17,100.0
0,Jordan Beck,COL,31431,687597.0,23,385.0,355.0,240.0,116.0,0.3017391304347826,28.0,0.07342173913043479,1.0,1.0,0.351,0.075,0.058,0.28,0.296,0.244,0.046,84.0,55.0,16.0,1.0,11.0,145.0,0.237,0.294,0.386,0.68,44.0,43.0,12.5,10.1,2.0,OF,1.0,3.11,86.0
0,Jordan Lawlar,ARI,29976,691783.0,22,234.0,209.0,153.0,57.0,0.24220466786355474,20.0,0.08644780713003336,1.0,5.0,0.352,0.089,0.052,0.292,0.306,0.189,0.071,54.0,35.0,11.0,1.0,8.0,92.0,0.257,0.336,0.423,0.759,29.0,27.0,6.1,5.0,1.0,,1.0,1.0,52.0
0,Brendan Rodgers,HOU,17907,663898.0,28,254.0,233.0,177.0,57.0,0.2241,18.0,0.06967599179206567,1.0,2.0,0.321,0.067,0.066,0.23,0.424,0.177,0.036,57.0,38.0,11.0,1.0,7.0,92.0,0.243,0.302,0.388,0.691,31.0,30.0,1.7,1.6,0.0,2B,1.0,1.02,56.0
0,Kevin Newman,LAA,17696,621028.0,31,220.0,205.0,172.0,34.0,0.15409999999999996,13.0,0.059694072948328264,0.0,1.0,0.309,0.029,0.035,0.287,0.346,0.249,0.053,53.0,40.0,9.0,1.0,3.0,78.0,0.259,0.306,0.357,0.663,25.0,22.0,6.4,5.5,1.0,,1.0,1.0,49.0
0,Jorge Polanco,SEA,13152,593871.0,31,475.0,423.0,295.0,130.0,0.2737,47.0,0.09884950738916258,1.0,3.0,0.322,0.099,0.056,0.253,0.242,0.301,0.05,95.0,58.0,17.0,1.0,18.0,172.0,0.224,0.306,0.398,0.704,54.0,53.0,5.8,4.6,1.0,2B,1.0,3.93,106.0
0,Jose Miranda,MIN,20538,669304.0,26,360.0,333.0,274.0,60.0,0.1675,21.0,0.05795802065404475,1.0,5.0,0.31,0.06,0.069,0.226,0.32,0.292,0.033,85.0,56.0,18.0,1.0,10.0,137.0,0.255,0.308,0.405,0.713,44.0,43.0,3.8,2.8,1.0,3B,1.0,2.13,80.0
0,Brayan Rocchio,CLE,23690,677587.0,24,517.0,461.0,349.0,113.0,0.217584,48.0,0.0937275974025974,1.0,7.0,0.285,0.046,0.047,0.233,0.362,0.233,0.079,99.0,67.0,21.0,1.0,10.0,161.0,0.216,0.3,0.332,0.632,56.0,49.0,15.9,12.0,4.0,SS,1.0,3.46,115.0
0,Jose Siri,NYM,17452,642350.0,29,387.0,356.0,219.0,138.0,0.35660000000000003,25.0,0.06542857142857143,1.0,5.0,0.347,0.131,0.072,0.198,0.293,0.242,0.064,76.0,41.0,16.0,1.0,19.0,159.0,0.213,0.274,0.422,0.696,47.0,48.0,16.6,12.9,4.0,OF,1.0,4.32,86.0
