,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,Unnamed: 0,System,ADP,xMLBAMID,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,FIP,MLBID,$,Deep $
74,Aaron Civale,MIL,19479,650644.0,632.0,147.0,26.0,135.32,72.75,9.0,11.4,0.0,67.0,22.0,1.3,0.222,8.6,140.0,46.0,2.8,0.073,7.0,85.56,25.76,2.0,4.1,1.23,0.388,0.242,0.287,121.98099999999998,182.41400000000002,107.48599999999999,,,,,,,,,,,,,,,,,1.0,5.61
75,Mitchell Parker,WSH,27636,680730.0,626.0,146.5,26.0,133.32,68.87,8.0,9.8,0.0,64.0,19.0,1.2,0.211,8.1,132.0,44.0,2.7,0.071,2.0,84.64,26.68,3.0,3.93,1.21,0.398,0.243,0.28,121.50000000000001,186.3,108.675,,,,,,,,,,,,,,,,,1.0,6.0
76,Robbie Ray,SF,11486,592662.0,623.0,146.4,27.0,125.04,69.84,10.0,15.5,0.0,64.0,20.0,1.2,0.272,10.4,169.0,49.0,3.0,0.079,9.0,78.2,24.84,2.0,3.93,1.19,0.397,0.242,0.281,109.55250000000001,167.4675,97.60499999999999,,,,,,,,,,,,,,,,,8.57,6.86
77,Nick Martinez,CIN,12730,607259.0,622.0,145.0,22.0,143.44,70.81,8.0,9.7,0.0,65.0,20.0,1.2,0.193,7.4,120.0,34.0,2.1,0.054,5.0,91.08,30.360000000000003,2.0,4.03,1.22,0.442,0.242,0.253,120.042,204.048,112.788,,,,,,,,,,,,,,,,,6.22,5.55
78,Jesus Luzardo,PHI,19959,666200.0,624.0,144.8,25.0,132.56,71.78,9.0,10.9,0.0,66.0,21.0,1.3,0.231,9.0,144.0,49.0,3.0,0.079,5.0,81.88000000000001,26.68,3.0,4.1,1.25,0.405,0.244,0.276,115.50800000000001,179.9425,104.30199999999999,,,,,,,,,,,,,,,,,6.32,5.51
79,Bowden Francis,TOR,20548,670102.0,612.0,144.6,24.0,133.64000000000001,71.78,8.0,9.0,0.0,66.0,24.0,1.5,0.209,8.0,128.0,36.0,2.2,0.059,9.0,81.88000000000001,25.76,2.0,4.11,1.17,0.357,0.235,0.309,127.45599999999999,176.28799999999998,106.39999999999999,,,,,,,,,,,,,,,,,6.94,5.95
80,Tomoyuki Sugano,BAL,sa3025685,608372.0,617.093,144.51,24.3,157.567,79.9777,8.0,10.0024,0.0,74.7283,24.0,1.511,0.174,6.69465,107.0,31.0,1.95115,0.051,5.9697,,,,4.65,1.31,0.403727,,,,,,184.0,Steamer,350.0,608372.0,9.3273,30.3,0.6344,,0.5448,3.43114,0.1234251447021961,0.271763,0.29753,0.703017,4.63565,,2.42,3.08
81,Yu Darvish,SD,13074,506433.0,601.0,143.5,25.0,120.2,63.05,10.0,14.8,0.0,58.0,18.0,1.1,0.238,9.0,143.0,41.0,2.6,0.069,8.0,79.12,22.080000000000002,1.0,3.64,1.12,0.392,0.241,0.286,113.84100000000001,171.387,100.2885,,,,,,,,,,,,,,,,,10.29,8.09
82,Walker Buehler,BOS,19374,621111.0,620.0,143.4,25.0,137.32,73.72,10.0,13.4,0.0,68.0,22.0,1.4,0.229,8.9,142.0,44.0,2.8,0.071,7.0,84.64,26.68,4.0,4.27,1.26,0.484,0.239,0.221,104.377,198.338,103.943,,,,,,,,,,,,,,,,,5.56,5.0
83,Dean Kremer,BAL,19350,665152.0,617.0,143.3,26.0,125.72000000000001,66.92999999999999,9.0,10.4,0.0,62.0,17.0,1.1,0.22,8.5,136.0,52.0,3.3,0.085,4.0,81.88000000000001,24.84,2.0,3.89,1.24,0.414,0.244,0.27,113.685,181.03799999999998,103.818,,,,,,,,,,,,,,,,,1.0,6.04
84,Spencer Arrighetti,HOU,29921,681293.0,615.0,142.9,27.0,119.60000000000001,69.84,8.0,8.9,0.0,64.0,21.0,1.3,0.254,9.8,156.0,58.0,3.7,0.094,7.0,74.52000000000001,22.080000000000002,2.0,4.03,1.24,0.376,0.241,0.297,111.67849999999999,161.603,96.4405,,,,,,,,,,,,,,,,,6.79,5.78
85,Martin Perez,CWS,6902,527048.0,631.0,142.6,25.0,141.44,72.75,7.0,12.5,0.0,67.0,18.0,1.1,0.18,7.2,114.0,52.0,3.3,0.082,5.0,93.84,27.6,2.0,4.23,1.36,0.477,0.238,0.228,113.46,210.8775,111.13499999999999,,,,,,,,,,,,,,,,,1.0,3.72
